strain,is_good,classification_reason,delta_od,max_od,initial_od,snr,time_to_max,r_squared,a_err_pct,mu_err_pct,best_model,truncation_time,points_used,gompertz_a,gompertz_a_err,gompertz_mu,gompertz_mu_err,gompertz_lambda,gompertz_lambda_err,fit_r_squared,fit_rmse,fit_mae,baseline_std,monotone_fraction,residual_autocorr,delta_od_ci_lower,p_good,ml_classification,mu_refined,mu_refined_rel_err,mu_trunc_time,mu_identifiable,A_refined,A_refined_rel_err,A_trunc_time,A_identifiable,lam_refined,lam_refined_rel_err,lam_trunc_time,lam_identifiable,param_disagreement_hours,param_quality,usable_for
IMIDACLOPRID-IMID2,False,BAD: Rejected by ML pre-fit gate,0.08078666040000002,0.0848999943333333,,48.67201327095547,,,,,gompertz,95.5,192,,,,,,,,,,,,,,0.0,BAD,,,,,,,,,,,,,,,
IMIDACLOPRID-IMID5,False,BAD: Rejected by ML pre-fit gate,0.003119998533333319,0.0104999986666666,,1.0624412059858295,,,,,gompertz,95.5,192,,,,,,,,,,,,,,0.0,BAD,,,,,,,,,,,,,,,
IMIDACLOPRID-IMID6,True,"GOOD (per-param): growth_rate,carrying_capacity,lag_time identifiable (ML said BAD, per-param override)",0.11403666643333338,0.122033333,,90.30171105505121,,0.9941705790500448,0.8284551799339106,1.9622371821972109,gompertz,44.0,89,0.10427950244734042,0.0008639089396343009,0.004318243503032553,8.47341796343201e-05,3.4420071095857554,0.22204936780085502,0.9941705790500448,0.002571454763274809,0.0019583681787374387,0.0012628405940593138,0.7807017543859649,0.5937609806842453,0.11151098524521474,7.82518970337342e-05,BAD,0.0037002321072439324,0.0177848392659754,91.5,identifiable,0.11488161918031992,0.003603928478113422,91.5,identifiable,3.5215430335232893,0.06358368883576054,25.5,identifiable,66.0,all_identifiable,"growth_rate,carrying_capacity,lag_time"
IMIDACLOPRID-IMID8,False,BAD: Rejected by ML pre-fit gate,0.10103333220000003,0.106999998,,68.2329005076153,,,,,gompertz,95.5,192,,,,,,,,,,,,,,0.0,BAD,,,,,,,,,,,,,,,
IMIDACLOPRID-IMID9,False,BAD: Rejected by ML pre-fit gate,0.01287333813333326,0.0136333379999999,,18.981316949880735,,,,,gompertz,95.5,192,,,,,,,,,,,,,,0.0,BAD,,,,,,,,,,,,,,,
IMIDACLOPRIDANDLB-IMID2,True,GOOD (ML): P(good)=1.000,0.3890266516666666,0.3981333179999999,,135.46397484262084,,0.9987793114889215,1.1019381831425832,1.6229320356822656,gompertz,19.5,40,0.39664030863756383,0.004370731010611905,0.03762849689267406,0.0006106849306169132,5.771445593057826,0.07417438656872695,0.9987793114889215,0.004737496276560518,0.004127900707298723,0.0028718089227680607,0.5,0.864931079904867,0.3832830338211305,0.999997394949657,GOOD,0.03674814186546792,0.01349379654465479,15.0,identifiable,0.38331333989598604,0.0045806234598131925,31.5,identifiable,5.755169025146961,0.011604097083039453,15.0,identifiable,16.5,all_identifiable,"growth_rate,carrying_capacity,lag_time"
IMIDACLOPRIDANDLB-IMID5,True,GOOD (ML): P(good)=1.000,1.2610499900000005,1.2948333223333337,,75.61787422220141,,0.9919446834930713,1.7685606605604816,1.4905646950490579,gompertz,70.5,137,1.5581457227062336,0.027556752285988254,0.02395863682321112,0.0003571189819018081,3.9256563531396704,0.38499311144614584,0.9919446834930713,0.035522599229890865,0.03015465288478023,0.01667661254658434,0.9736842105263158,0.8428676169719432,1.2276967649068318,0.9999920395425245,GOOD,0.02405382322386666,0.012621647681572323,58.0,identifiable,1.3338703887927095,0.0072845452689831655,95.0,identifiable,4.451825642037528,0.08137358858088559,60.0,identifiable,37.0,all_identifiable,"growth_rate,carrying_capacity,lag_time"
IMIDACLOPRIDANDLB-IMID6,True,"GOOD (per-param): growth_rate,carrying_capacity identifiable (ML said BAD, per-param override)",0.7008300144000001,0.7169000136666668,,65.15514583585504,,0.9617144156328502,0.8706016544338051,4.025514791402238,gompertz,94.0,189,0.641275598012109,0.007173363553429718,0.01691709189474692,0.0008130928202781775,2.6304115554807947e-19,0.9409748497361135,0.917186551119547,0.053482001083817815,0.048253861697493475,0.010756326386953332,0.8508771929824561,0.921328145739168,0.6793173616260935,0.012117683826485084,BAD,0.021357691364544233,0.040255147914022384,70.0,identifiable,0.551951080677461,0.00870601654433805,70.0,identifiable,0.7950042952340807,0.6802911653981117,70.0,unidentifiable,0.0,poor,"growth_rate,carrying_capacity"
IMIDACLOPRIDANDLB-IMID8,True,GOOD (ML): P(good)=1.000,0.7378200069,0.7397666723333334,,800.0479400027269,,0.9996884175961254,1.7511800853057882,0.5745060097589922,gompertz,16.5,34,0.3859535987995572,0.006758742560698846,0.029976843479151218,0.0001722187673237703,7.102638761187591,0.03114587206199288,0.9996884175961254,0.0015874642691671834,0.0013829187189589639,0.0009222197446036611,1.0,0.8471528027120367,0.7359755674107927,0.9999811419307603,GOOD,0.029976843479151218,0.005745060097589922,16.5,identifiable,0.6646281059115857,0.004968655408060525,82.5,identifiable,7.102638761187591,0.004385112788248457,16.5,identifiable,66.0,all_identifiable,"growth_rate,carrying_capacity,lag_time"
IMIDACLOPRIDANDLB-IMID9,False,BAD: Rejected by ML pre-fit gate,0.11903999960000003,0.170699999,,2.6878171428041373,,,,,gompertz,95.5,192,,,,,,,,,,,,,,0.0,BAD,,,,,,,,,,,,,,,
