LB_MAL8_blanked,LB_MAL10_blanked,LB_MAL1_blanked,LB_MAL5_blanked,LB_MAL4_blanked,LB_LCY1_blanked,TIME[H]
0.0275333333333333,0.03526666666666664,0.0,0.005299999999999999,0.005233333333333312,0.010366666666666635,0.0
0.03406666666666669,0.03266666666666668,0.0,0.009066666666666695,0.005133333333333379,0.006500000000000006,0.24996416666666665
0.04050000000000001,0.03390000000000004,0.0,0.014266666666666677,0.006000000000000005,0.009100000000000025,0.49995694444444444
0.051066666666666705,0.032899999999999985,0.0,0.01796666666666666,0.006833333333333358,0.008266666666666672,0.7499522222222222
0.07509999999999997,0.038500000000000006,0.0005666666666666875,0.026533333333333353,0.010566666666666641,0.011999999999999955,0.9999463888888889
0.086,0.04163333333333333,0.003233333333333338,0.0368333333333333,0.014399999999999968,0.013099999999999973,1.2499366666666667
0.10963333333333336,0.05263333333333334,0.008166666666666683,0.05036666666666667,0.020699999999999996,0.0174,1.4999305555555555
0.13179999999999997,0.06473333333333334,0.02156666666666665,0.06859999999999997,0.0318333333333333,0.02846666666666664,1.7499227777777777
0.16469999999999996,0.0823666666666667,0.03986666666666666,0.09796666666666665,0.04359999999999997,0.040166666666666656,1.999915
0.20689999999999995,0.10166666666666666,0.05799999999999997,0.13086666666666666,0.05736666666666668,0.05313333333333334,2.2499108333333333
0.25749999999999995,0.11749999999999997,0.07679999999999998,0.1632666666666667,0.07193333333333332,0.06683333333333333,2.4999030555555555
0.3207333333333334,0.14063333333333336,0.09856666666666672,0.2115000000000001,0.09026666666666669,0.08033333333333334,2.749896666666667
0.3948666666666667,0.16810000000000003,0.12990000000000002,0.2543666666666666,0.12436666666666668,0.09363333333333335,2.9998899999999997
0.47860000000000014,0.20679999999999996,0.17783333333333332,0.3275666666666667,0.16,0.11406666666666668,3.249881388888889
0.5526666666666665,0.23716666666666664,0.22749999999999998,0.4097666666666667,0.2049333333333333,0.13779999999999992,3.4998758333333333
0.7325666666666666,0.40536666666666665,0.2878333333333334,0.4891000000000001,0.25606666666666666,0.16976666666666665,3.7498680555555555
0.9791000000000001,0.6583999999999999,0.3526,0.5768000000000001,0.3168333333333334,0.21206666666666665,3.9998641666666668
