H2O_MAL8_blanked,H2O_MAL10_blanked,H2O_MAL1_blanked,H2O_MAL5_blanked,H2O_MAL4_blanked,H2O_LCY1_blanked,TIME[H]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.24996416666666665
0.0,0.0,0.0,0.0,0.0,0.0,0.49995694444444444
0.0,0.0,0.0,0.0,0.0,0.0,0.7499522222222222
0.0,0.0,0.0,0.0,0.0,0.0,0.9999463888888889
0.0,0.0,0.0,0.0,0.0,0.0,1.2499366666666667
0.0,0.0,0.0,0.0,0.0,0.0,1.4999305555555555
0.0,0.0,0.0,0.0,0.0,0.0,1.7499227777777777
0.0,0.0,0.0,0.0,0.0,0.0,1.999915
0.0,0.0,0.0,0.0,0.0,0.0,2.2499108333333333
0.0,0.0,0.0,0.0,0.0,0.0,2.4999030555555555
0.0,0.0,0.0,0.0,0.0,0.0,2.749896666666667
0.0,0.0,0.0,0.0,0.0,0.0,2.9998899999999997
0.0,0.0,0.0,0.0,0.0,0.0,3.249881388888889
0.0017333333333333367,0.0,0.0,0.0,0.0,0.0,3.4998758333333333
0.0,0.0,0.0,0.0,0.0,0.0,3.7498680555555555
0.0,0.0,0.0,0.0,0.0,0.0,3.9998641666666668
0.0007999999999999674,0.0,0.0,0.0,0.0,0.0,4.249854444444445
0.00523333333333334,0.0,0.0,0.0,0.0,0.0,4.499851111111111
0.006799999999999973,0.0,0.0,0.0,0.0,0.0,4.749844444444444
0.006266666666666643,0.0,0.0,0.0,0.0,0.0,4.999835
0.012066666666666698,0.0,0.0,0.0,0.0,0.0,5.249827777777778
0.019166666666666665,0.0,0.0,0.0,0.0,0.0,5.499820277777777
0.022366666666666674,0.0,0.0,0.0,0.0,0.0,5.749814444444444
0.018433333333333357,0.0,0.0,0.0,0.0,0.0,5.999806944444445
0.023100000000000037,0.0,0.0,0.0,0.0,0.0,6.249803055555556
0.022499999999999992,0.0,0.0,0.0,0.0,0.0,6.499793333333334
0.02673333333333336,0.0,0.0,0.0,0.0,0.0,6.7497875
0.029199999999999976,0.0,0.0,0.0,0.0,0.0,6.999779166666667
0.02693333333333331,0.0,0.0,0.0,0.0,0.0,7.249771944444444
0.03200000000000003,0.0,0.0,0.0,0.0,0.0,7.4997686111111115
0.033333333333333326,0.0,0.0,0.0,0.0,0.0,7.749759722222222
0.03500000000000006,0.0,0.0,0.0,0.0,0.0,7.999751388888889
0.040133333333333354,0.0,0.0,0.0,0.0,0.0,8.249748611111112
0.0407666666666667,0.0,0.0,0.0,0.0,0.0,8.499736944444445
0.04096666666666668,0.0,0.0,0.0,0.0,0.0,8.749730277777777
0.04496666666666671,0.0,0.0,0.0,0.0,0.0,8.999726944444445
0.048600000000000004,0.0,0.0,0.0,0.0,0.0,9.249716388888888
0.046866666666666695,0.0,0.0,0.0,0.0,0.0,9.499709722222223
0.04936666666666664,0.0,0.0,0.0,0.0,0.0,9.749708055555555
0.051933333333333304,0.0,0.0,0.0,0.0,0.0,9.999696666666667
0.05186666666666667,0.0,0.0,0.0,0.0,0.0,10.249689722222223
0.05289999999999995,0.0,0.0,0.0,0.0,0.0,10.499685833333332
0.058366666666666706,0.0,0.0,0.0,0.0,0.0,10.749675833333333
0.058566666666666656,0.0,0.0,0.0,0.0,0.0,10.999669166666667
0.0581666666666667,0.0,0.0,0.0,0.0,0.0,11.24966472222222
0.05753333333333335,0.0,0.0,0.0,0.0,0.0,11.499656944444444
0.0606666666666667,0.0,0.0,0.0,0.0,0.0,11.74964861111111
0.06279999999999997,0.0009999999999999731,0.0,0.0,0.0,0.0,11.999639722222222
0.060699999999999976,0.0,0.0,0.0,0.0,0.0,12.24963361111111
0.06239999999999998,0.0,0.0,0.0,0.0,0.0,12.499630555555555
0.06176666666666669,0.0,0.0,0.0,0.0,0.0,12.749620833333333
0.06440000000000001,0.0,0.0,0.0,0.0,0.0,12.99961361111111
0.06849999999999998,0.0,0.0,0.0,0.0,0.0,13.249605833333334
0.06600000000000003,0.0,0.0,0.0,0.0,0.0,13.499602222222222
0.0696,0.0,0.0,0.0,0.0,0.0,13.7495925
0.06819999999999998,0.0,0.0,0.0,0.0,0.0,13.999586944444443
0.0677666666666667,0.0,0.0,0.0,0.0,0.0,14.249578333333334
0.07173333333333332,0.0,0.0,0.0,0.0,0.0,14.499572777777777
0.07043333333333332,0.0,0.0,0.0,0.0,0.0,14.749568333333334
0.0759,0.003233333333333366,0.0,0.0,0.0,0.0,14.999558333333335
0.07153333333333331,0.0,0.0,0.0,0.0,0.0,15.24955138888889
0.07300000000000001,0.0,0.0,0.0,0.0,0.0,15.499544444444444
0.0761,0.0,0.0,0.0,0.0,0.0,15.749540277777777
0.07830000000000001,0.0,0.0,0.0,0.0,0.0,15.999533333333334
0.07933333333333331,0.0008999999999999841,0.0,0.0,0.0,0.0,16.249524444444443
0.07550000000000001,0.0,0.0,0.0,0.0,0.0,16.499526111111113
0.07700000000000001,0.0,0.0,0.0,0.0,0.0,16.74950972222222
0.07923333333333338,0.0,0.0,0.0,0.0,0.0,16.999503333333333
0.08053333333333329,0.0,0.0,0.0,0.0,0.0,17.24949638888889
0.0807,0.0,0.0,0.0,0.0,0.0,17.499489444444443
0.0826666666666667,0.0011666666666667047,0.0,0.0,0.0,0.0,17.749485
0.08300000000000002,0.0,0.0,0.0,0.0,0.0,17.999476944444442
0.08309999999999998,0.0,0.0,0.0,0.0,0.0,18.249468888888888
0.08460000000000001,0.0,0.0,0.0,0.0,0.0,18.49946222222222
0.08143333333333333,0.0,0.0,0.0,0.0,0.0,18.74945527777778
0.08306666666666668,0.0,0.0,0.0,0.0,0.0,18.99944888888889
0.08333333333333334,0.0,0.0,0.0,0.0,0.0,19.24944222222222
0.08540000000000003,0.0,0.0,0.0,0.0,0.0,19.499437500000003
0.0862,0.0,0.0,0.0,0.0,0.0,19.74942805555556
0.08513333333333334,0.0,0.0,0.0,0.0,0.0,19.999421944444443
0.08729999999999999,0.0,0.0,0.0,0.0,0.0,20.24941361111111
0.08926666666666666,0.0007333333333333358,0.0,0.0,0.0,0.0,20.49940888888889
0.08739999999999998,0.0,0.0,0.0,0.0,0.0,20.749400555555557
0.08869999999999997,0.0,0.0,0.0,0.0,0.0,20.999398055555556
0.09043333333333334,0.0005333333333333579,0.0,0.0,0.0,0.0,21.249388055555556
0.08959999999999999,0.0,0.0,0.0,0.0,0.0,21.499383055555555
0.09400000000000003,0.0019333333333333425,0.0,0.0,0.0,0.0,21.749375555555552
0.09143333333333334,0.0,0.0,0.0,0.0,0.0,21.999372777777776
0.09030000000000002,0.0,0.0,0.0,0.0,0.0,22.249363055555555
0.09173333333333339,0.0,0.0,0.0,0.0,0.0,22.49935638888889
0.09199999999999997,0.0,0.0,0.0,0.0,0.0,22.749349722222224
0.0928333333333334,0.0,0.0,0.0,0.0,0.0,22.99934277777778
0.09326666666666664,0.0,0.0,0.0,0.0,0.0,23.249340555555555
0.09386666666666668,0.0,0.0,0.0,0.0,0.0,23.4993275
0.09509999999999999,0.0,0.0,0.0,0.0,0.0,23.74932111111111
0.09336666666666671,0.0,0.0,0.0,0.0,0.0,23.99931638888889
0.09649999999999995,0.0,0.0,0.0,0.0,0.0,24.2493075
0.09873333333333331,0.0,0.0,0.0,0.0,0.0,24.49930111111111
0.09733333333333333,0.0,0.0,0.0,0.0,0.0,24.74929472222222
0.09720000000000004,0.0,0.0,0.0,0.0,0.0,24.999288333333332
0.09823333333333334,0.0006333333333333468,0.0,0.0,0.0,0.0,25.24928027777778
0.09833333333333333,0.0,0.0,0.0,0.0,0.0,25.499276944444443
0.10023333333333334,0.0,0.0004000000000000392,0.0,0.0,0.0,25.7492675
0.10049999999999998,0.0,0.00043333333333331336,0.0,0.0,0.0,25.999260833333334
0.10196666666666668,0.00020000000000000573,0.0004999999999999727,0.0,0.0,0.0,26.249254444444446
0.1009666666666667,0.0,0.00010000000000001674,0.0,0.0,0.0,26.49925
0.10106666666666667,0.0,0.0,0.0,0.0,0.0,26.749244166666664
0.10036666666666663,0.0,0.0,0.0,0.0,0.0,26.999234444444447
0.10119999999999998,0.0,0.0,0.0,0.0,0.0,27.249228055555555
0.10116666666666665,0.0,0.0,0.0,0.0,0.0,27.499221944444443
0.10253333333333334,0.0,0.0006000000000000172,0.0,0.0,0.0,27.7492175
0.10256666666666664,0.0,0.00029999999999996696,0.0,0.0,0.0,27.99921
0.10143333333333329,0.0,0.0,0.0,0.0,0.0,28.2492
0.10163333333333333,0.0,0.0,0.0,0.0,0.0,28.499194444444445
0.10166666666666663,0.0,0.0,0.0,0.0,0.0,28.749187222222222
0.10389999999999999,0.0,0.00013333333333331865,0.0,0.0,0.0,28.99918333333333
0.10413333333333338,0.0,0.0004666666666666708,0.0,0.0,0.0,29.24917638888889
0.10513333333333338,0.0005000000000000282,0.0021000000000000185,0.0,0.0,0.0,29.499166111111112
0.10129999999999992,0.0,0.0,0.0,0.0,0.0,29.749160277777776
0.1049333333333333,0.0,0.0020999999999999908,0.0,0.0,0.0,29.999152777777777
0.10536666666666669,0.0,0.0031000000000000194,0.0,0.0,0.0,30.2491475
0.10673333333333335,0.00019999999999997797,0.002433333333333315,0.0,0.0,0.0,30.49914111111111
0.10499999999999998,0.0,0.0003333333333333244,0.0,0.0,0.0,30.749133333333333
0.10566666666666666,0.0,0.0010999999999999899,0.0,0.0,0.0,30.999126111111114
0.10656666666666675,0.0,0.00269999999999998,0.0,0.0,0.0,31.249119722222225
0.10566666666666669,0.0,0.0010999999999999621,0.0,0.0,0.0,31.4991125
0.10570000000000002,0.0,0.0005999999999999894,0.0,0.0,0.0,31.749105833333335
0.10803333333333334,0.0,0.0031666666666666787,0.0,0.0,0.0,31.999099722222223
0.1056333333333333,0.0,0.00269999999999998,0.0,0.0,0.0,32.249091666666665
0.10803333333333331,0.0,0.0032999999999999974,0.0,0.0,0.0,32.49908555555555
0.10733333333333334,0.0,0.002233333333333337,0.0,0.0,0.0,32.74907861111111
0.10973333333333335,0.0015333333333333032,0.005599999999999966,0.0,0.0,0.0,32.9990725
0.1074,0.0,0.0031333333333333213,0.0,0.0,0.0,33.249065
0.10779999999999998,0.0,0.0040333333333333055,0.0,0.0,0.0,33.49905777777778
0.10653333333333334,0.0,0.004233333333333339,0.0,0.0,0.0,33.749050833333335
0.10996666666666666,0.0004333333333332856,0.005866666666666687,0.0,0.0,0.0,33.999044166666664
0.1099,0.0,0.005099999999999938,0.0,0.0,0.0,34.24903777777777
0.10963333333333336,0.0,0.005100000000000021,0.0,0.0,0.0,34.49903138888889
0.10869999999999994,0.0,0.004099999999999965,0.0,0.0,0.0,34.74902388888889
0.10880000000000004,0.0,0.005500000000000005,0.0,0.0,0.0,34.99901777777778
0.10816666666666669,0.0,0.004400000000000043,0.0,0.0,0.0,35.24900944444444
0.11053333333333334,0.0007333333333333636,0.00773333333333337,0.0,0.0,0.0,35.499005555555556
0.1087666666666667,0.0,0.0051666666666666805,0.0,0.0,0.0,35.74899861111111
0.10936666666666667,0.0001666666666666483,0.006699999999999984,0.0,0.0,0.0,35.99899
0.1083666666666667,0.0,0.0049000000000000155,0.0,0.0,0.0,36.248983055555556
0.10910000000000003,0.0,0.005333333333333357,0.0,0.0,0.0,36.49897555555556
0.11120000000000002,0.0006666666666667043,0.007566666666666666,0.0,0.0,0.0,36.74897055555555
0.11139999999999997,0.0006333333333333468,0.0082666666666667,0.0,0.0,0.0,36.99896527777778
0.10923333333333332,0.0,0.00553333333333339,0.0,0.0,0.0,37.24895527777778
0.1106333333333333,0.0,0.005799999999999972,0.0,0.0,0.0,37.49894916666667
0.1104333333333333,0.0,0.006366666666666659,0.0,0.0,0.0,37.74894055555555
0.11126666666666668,0.0,0.008233333333333315,0.0,0.0,0.0,37.998936666666665
0.11049999999999999,0.0,0.006366666666666687,0.0,0.0,0.0,38.248929999999994
0.1096,0.00030000000000002247,0.0065333333333333354,0.0,0.0,0.0,38.49892
0.11123333333333332,0.0004999999999999727,0.006866666666666632,0.0,0.0,0.0,38.748913611111114
0.11183333333333337,0.0,0.007866666666666688,0.0,0.0,0.0,38.99890611111111
0.11226666666666668,0.0,0.00793333333333332,0.0,0.0,0.0,39.24890277777777
0.1113333333333334,0.0004333333333333411,0.009266666666666618,0.0,0.0,0.0,39.49889305555556
0.11100000000000004,0.0001333333333333464,0.010133333333333355,0.0,0.0,0.0,39.74888583333333
0.11200000000000002,0.0,0.00899999999999998,0.0,0.0,0.0,39.99888222222222
0.11136666666666675,0.0006000000000000172,0.008933333333333321,0.0,0.0,0.0,40.2488725
0.1104,0.0004333333333333411,0.007966666666666677,0.0,0.0,0.0,40.49886527777778
0.11269999999999997,0.00250000000000003,0.00993333333333335,0.0,0.0,0.0,40.74886055555555
0.1128666666666667,0.001899999999999985,0.011199999999999988,0.0,0.0,0.0,40.99885277777778
0.11253333333333337,9.999999999998899e-05,0.00953333333333331,0.0,0.0,0.0,41.248843888888885
0.11156666666666659,0.0,0.008199999999999985,0.0,0.0,0.0,41.49884
0.11263333333333331,0.0008999999999999841,0.009466666666666651,0.0,0.0,0.0,41.74883166666667
0.11349999999999996,0.0005999999999999894,0.009700000000000014,0.0,0.0,0.0,41.998823055555555
0.11326666666666674,0.002133333333333376,0.010799999999999976,0.0,0.0,0.0,42.24881666666666
0.11196666666666666,0.0007333333333333636,0.009800000000000003,0.0,0.0,0.0,42.49881055555555
0.11200000000000002,0.0005999999999999894,0.009000000000000008,0.0,0.0,0.0,42.748803055555555
0.11196666666666666,0.00029999999999996696,0.009366666666666634,0.0,0.0,0.0,42.99879666666667
0.11286666666666659,0.0007666666666666377,0.009999999999999981,0.0,0.0,0.0,43.24878861111111
0.11266666666666664,0.0004333333333333411,0.010166666666666657,0.0,0.0,0.0,43.49878527777778
0.11413333333333328,0.0011333333333333195,0.011133333333333328,0.0,0.0,0.0,43.748775555555554
0.1141666666666667,0.0028333333333333544,0.012666666666666687,0.0,0.0,0.0,43.99877472222222
0.1129,0.0007000000000000062,0.010666666666666685,0.0,0.0,0.0,44.24876166666666
0.11406666666666662,0.0015333333333333588,0.010800000000000004,0.0,0.0,0.0,44.498757222222224
0.11333333333333337,3.333333333332966e-05,0.01043333333333335,0.0,0.0,0.0,44.74874722222222
0.11323333333333327,0.0003666666666666818,0.010000000000000009,0.0,0.0,0.0,44.99874277777777
0.11479999999999996,0.0029666666666666452,0.011899999999999994,0.0,0.0,0.0,45.248733611111106
0.11406666666666665,0.0015333333333333032,0.010466666666666652,0.0,0.0,0.0,45.49872694444444
0.11509999999999998,0.0026666666666666505,0.012299999999999978,0.0,0.0,0.0,45.74871916666667
