LAMBDACYHALOTHRINANDLB_LCY1_blanked,TIME[H]
0.0,0.0
0.0,0.24996416666666665
0.0,0.49995694444444444
0.0,0.7499522222222222
0.0,0.9999463888888889
0.0,1.2499366666666667
0.0,1.4999305555555555
0.0,1.7499227777777777
0.0,1.999915
0.0,2.2499108333333333
0.0,2.4999030555555555
0.010300000000000004,2.749896666666667
0.02939999999999998,2.9998899999999997
0.049633333333333335,3.249881388888889
0.06313333333333335,3.4998758333333333
0.08073333333333332,3.7498680555555555
0.09993333333333329,3.9998641666666668
0.12053333333333333,4.249854444444445
0.15069999999999997,4.499851111111111
0.1797333333333333,4.749844444444444
0.2171333333333333,4.999835
0.2533000000000001,5.249827777777778
0.2924333333333333,5.499820277777777
0.3435666666666667,5.749814444444444
0.3918666666666667,5.999806944444445
0.43933333333333324,6.249803055555556
0.4931333333333333,6.499793333333334
0.5453666666666668,6.7497875
0.6024333333333334,6.999779166666667
0.6548999999999999,7.249771944444444
0.6988666666666667,7.4997686111111115
0.7517666666666668,7.749759722222222
0.7949999999999999,7.999751388888889
0.8362333333333333,8.249748611111112
0.8852666666666668,8.499736944444445
0.9239999999999999,8.749730277777777
0.9605333333333335,8.999726944444445
0.9955666666666668,9.249716388888888
1.0253333333333334,9.499709722222223
1.0532666666666668,9.749708055555555
1.0782333333333332,9.999696666666667
1.1061666666666665,10.249689722222223
1.1297666666666668,10.499685833333332
1.1546,10.749675833333333
1.1775666666666664,10.999669166666667
1.1974333333333331,11.24966472222222
1.2241666666666666,11.499656944444444
1.2390333333333334,11.74964861111111
1.2626333333333335,11.999639722222222
1.2797666666666665,12.24963361111111
1.302366666666667,12.499630555555555
1.3193666666666668,12.749620833333333
1.3385333333333334,12.99961361111111
1.3494333333333333,13.249605833333334
1.3689666666666667,13.499602222222222
1.3854666666666666,13.7495925
1.3992000000000002,13.999586944444443
1.4141,14.249578333333334
1.4312333333333336,14.499572777777777
1.4463666666666668,14.749568333333334
1.4576333333333333,14.999558333333335
1.4673333333333336,15.24955138888889
1.4828333333333332,15.499544444444444
1.4925666666666664,15.749540277777777
1.5024333333333337,15.999533333333334
1.5105,16.249524444444443
1.5241333333333333,16.499526111111113
1.5370000000000001,16.74950972222222
1.5416333333333334,16.999503333333333
1.5479,17.24949638888889
1.5581666666666667,17.499489444444443
1.5637666666666667,17.749485
1.5723666666666665,17.999476944444442
1.5771333333333335,18.249468888888888
1.5810000000000002,18.49946222222222
1.5890666666666668,18.74945527777778
1.5927666666666667,18.99944888888889
1.5983999999999998,19.24944222222222
