pesticide,n_strains_pre,n_strains_post,Ki_median_pre,Ki_median_post,Ki_median_pct,Ki_hdi_low_pre,Ki_hdi_low_post,Ki_hdi_high_pre,Ki_hdi_high_post,P_Ki_lt_10_pre,P_Ki_lt_10_post,P_Ki_lt_10_delta
BIFENTHRIN,4,4,17.54743897501646,20.286029461668655,15.606781653729202,4.624010456620128,5.503268884908675,255.4680000527007,30.88689716717212,0.30185,0.25,-0.05185000000000001
DIAZINON,6,5,9.318711806260612,6.086294323866907,-34.68738544121584,0.0645384176182254,1.0371171148881675,23.048383212745694,15.508386888642995,0.5402,0.852125,0.311925
FLUPYRADIFURONE,1,1,5.867386325093162,10.462498528399031,78.31616922263778,3.03244410203188,1.8598608940780472,13.818130827901127,19.71691773729755,0.71725,0.43825,-0.2790000000000001
IMIDACLOPRID,17,9,4.8281907165946265,13.00155132065261,169.28412906238177,0.049481044642821,3.607223416229472,16.129647144727134,74.49084688544069,0.74735,0.455625,-0.29172499999999996
LAMBDACYHALOTHRIN,5,5,12.280864766723935,17.47172103990349,42.26784002413761,1.7441559451731738,0.3930177440650443,68.35281014480859,31.045885624981928,0.37405,0.25,-0.12405
MALATHION,5,12,11.841520851280222,14.134985026989677,19.3679866337566,1.6253800157706702,4.755873039781483,167.5051547071275,34.48106591506644,0.371,0.2845,-0.08650000000000002
PERMETHRIN,4,4,14.78545138326663,18.104401362840832,22.44740382651023,0.887346864722984,7.603949679986691,56.02945522987953,57.19920654505981,0.32395,0.19525,-0.1287
