strain,A_mean,A_median,A_hdi_low,A_hdi_high,mu_mean,mu_median,mu_hdi_low,mu_hdi_high,lam_mean,lam_median,lam_hdi_low,lam_hdi_high
DIAZINONANDLB-DIAZ28,1.3864696490886688,1.3869920458591807,1.3677332942967766,1.4046651474344225,0.12570177359065765,0.125935058136948,0.11727837309054162,0.13203819569504577,0.2163025668839137,0.20477857862073634,-0.14722647242585918,0.5779644444100973
DIAZINONANDLB-DIAZ8,0.35780069203094783,0.356339652414341,0.335367713360306,0.3820526244770996,0.11548526695236351,0.1079473940686605,0.07922301801576624,0.166005395684563,0.03224140979789239,-0.012306589467779239,-0.5494920629136206,0.6931868732245673
MALATHIONANDLB-MAL2,0.7140009353238072,0.713064045438399,0.6752644515060638,0.7539670684070072,0.059088339418324004,0.05876253049251291,0.05204432325007943,0.06724925271350957,3.274142283759642,3.296413884010846,2.611251904948156,3.9641292992937176
IMIDACLOPRIDANDLB-IMID1Y,0.28749578493404376,0.2699926294000624,0.22436064951977097,0.37327770671531046,0.013342949555649611,0.013134352624182605,0.009106503208181987,0.016743311316717226,3.4150389758166675,3.424220590143739,0.05708688462372602,5.538405999343771
IMIDACLOPRIDANDLB-IMID2,0.4186705069317542,0.4175997444630437,0.39074265743693126,0.44289852671194835,0.017139818054920517,0.017078516964351618,0.013964392502196901,0.02060251504034137,-1.4593547084906622,-1.1222414971810437,-4.093451034136693,0.4428766462105993
IMIDACLOPRIDANDLB-IMID3,0.9325259542303898,0.9415386437451938,0.8175944776193776,1.0281123862192285,0.02137284899674735,0.021186941473639788,0.02002197312533481,0.02329963167197428,6.27155015396355,6.089074483264315,5.091175463107769,7.654390143473734
IMIDACLOPRIDANDLB-IMID5,0.7297946260199858,0.7323140814361033,0.6755200451063209,0.7885895949630182,0.02138045749027021,0.021606805179824197,0.018980745476334396,0.0232362515885953,0.389065753594808,0.32952218241396314,-1.1303452461132695,1.9807857005996778
IMIDACLOPRIDANDLB-IMID6,0.2820132276824721,0.28219458135592707,0.2535196087099,0.30336050096856937,0.012625426615732791,0.01214273463881172,0.009569591003686644,0.01676820785599141,2.515971247256506,2.2009104466776916,-0.15702442043540898,5.33383050284327
IMIDACLOPRIDANDLB-IMID8,0.348842019014685,0.34883834233154065,0.3114801716529978,0.3858548311183177,0.011096038292383828,0.010868370937695587,0.008661086049283468,0.014165985330694505,-3.3129226899803736,-2.9127291663240626,-6.961384082972556,0.12747233534066993
IMIDACLOPRIDANDLB-IMID9Y,0.703398575864425,0.703111716196142,0.6558458758004475,0.7653151185384057,0.021039369777572415,0.02036504224259919,0.01823646666339092,0.02475573700091044,1.721077822202662,1.5034314277528174,-0.18429290089858608,3.5417618397337116
IMIDACLOPRIDANDLB-IMID2,0.3935119325548962,0.39559547206035817,0.3627634756927045,0.4184240893723975,0.03787037117733963,0.03647721616408442,0.030228352097830806,0.04812444336963863,5.70579151100803,5.551666749209439,4.663016827453877,6.947575456239295
IMIDACLOPRIDANDLB-IMID5,1.521812804850555,1.5105449051523099,1.4530105775230253,1.604319544396046,0.024404087557613186,0.024408591687024018,0.023304915295002938,0.025569186545684214,4.400523380743298,4.419921530790899,3.1343213051171066,5.556529228865236
IMIDACLOPRIDANDLB-IMID6,0.4643473622239975,0.4667166744258956,0.43596245190755645,0.4893368582124355,0.031812360791251895,0.031059440858582713,0.02701080225995233,0.038214452728455514,3.3798350959082573,3.218273714499478,2.389288434860262,4.736061259730507
IMIDACLOPRIDANDLB-IMID8,0.6881388609415738,0.686376276404806,0.671790960221138,0.7111991488242634,0.01886037541132759,0.018752580216586063,0.016720137685072405,0.021301795339879546,3.746302748575806,3.4863629779104137,1.7945644267589564,6.028755158766556
