group,A_group_mean,A_group_hdi_low,A_group_hdi_high,mu_group_mean,mu_group_hdi_low,mu_group_hdi_high,lam_group_mean,lam_group_hdi_low,lam_group_hdi_high
BIFENTHRIN,1.4476652765269178,1.0792177852691622,1.7968018058626074,0.06307411691836101,-0.23697211697758977,0.24243322149105134,2.4163303760959463,-3.1603747950195826,5.817303592163253
DIAZINON,0.8021593621272904,0.4355744858448599,1.130922398999834,0.030365191099336705,-0.12431761081751189,0.14933100838776664,0.12862986657382658,-3.2639118809195065,5.26703611962086
FLUPYRADIFURONE,1.3464194567491168,0.7527844505350427,1.7720695205287467,0.36949332170090676,-0.7512215007240033,0.8502951181167331,2.5238766579826106,-4.150264905727859,10.775160115388298
IMIDACLOPRID,0.8868116698216204,0.7050401611586463,1.0599294426055799,0.02591726606900555,-0.05676846576534114,0.07814038684869312,2.8392032665756823,0.4012434549422894,4.917288544287939
LAMBDACYHALOTHRIN,1.4150494490312913,1.0818382291853903,1.717412134632614,0.08850229699513949,-0.17518442229607362,0.22618414205802206,2.9044566988640628,-0.9538737782943119,7.317207637896049
MALATHION,1.283298862592786,1.0008934305720787,1.5814483287282333,0.11670400094842516,-0.2767937842212469,0.3018526681437081,3.6949241003948075,-1.2965426783111351,6.982583598564731
PERMETHRIN,1.1361743303343432,0.8499202732949549,1.5221166142467872,0.04932966535686204,-0.1555783095255302,0.19362827567183802,18.415480598542803,13.536791070465533,25.589540033292334
CONTROL,1.2726222095536153,1.1211319733636413,1.4441840195213427,0.08240725630159039,-0.19997150786064452,0.19827655901357616,3.500195666771647,2.384915899705924,4.665604569847511
