PERMETHRINANDLB_PERM4,PERMETHRINANDLB_CYPERM2,PERMETHRINANDLB_PERM7,PERMETHRINANDLB_CISPERM1,TIME[H]
0.018333333333333313,0.024333333333333318,0.03909999999999997,0.0020000000000000018,0.0
0.017000000000000015,0.020033333333333347,0.04073333333333329,0.0015000000000000013,0.24996361111111112
0.017833333333333368,0.020633333333333337,0.04616666666666669,0.0,0.49995527777777776
0.020066666666666677,0.01990000000000014,0.05733333333333335,0.0013000000000000789,0.7499525
0.021133333333333337,0.01803333333333329,0.07206666666666667,0.0006666666666667043,0.9999425000000001
0.02566666666666667,0.019933333333333303,0.09573333333333339,0.0005333333333333301,1.2499352777777777
0.027433333333333254,0.01709999999999995,0.12239999999999995,0.0,1.4999297222222223
0.028766666666666718,0.011733333333333318,0.15320000000000006,0.0,1.7499230555555556
0.04470000000000007,0.01486666666666675,0.20200000000000012,0.00030000000000002247,1.9999158333333333
0.05910000000000004,0.014800000000000035,0.2491,0.0013666666666666827,2.249912222222222
0.08033333333333331,0.011966666666666681,0.29466666666666674,0.0018333333333333535,2.499902777777778
0.1045666666666667,0.01093333333333335,0.3663333333333333,0.002333333333333354,2.7498958333333334
0.13603333333333328,0.010466666666666624,0.4565666666666666,0.002833333333333299,2.9998899999999997
0.17259999999999998,0.00883333333333336,0.5432666666666667,0.003766666666666696,3.2498830555555553
0.20916666666666672,0.008199999999999985,0.6215999999999999,0.005266666666666642,3.499876388888889
0.2520666666666665,0.007900000000000074,0.6814333333333333,0.0035333333333333328,3.749868333333333
0.33233333333333326,0.005033333333333334,0.7301666666666669,0.003400000000000014,3.9998652777777775
0.47466666666666657,0.005733333333333368,0.7730666666666667,0.003999999999999948,4.249856666666667
0.5891666666666666,0.0010666666666666602,0.812,0.004066666666666607,4.499849444444445
0.6717000000000001,0.0005666666666666598,0.8477000000000001,0.004599999999999993,4.749842777777778
0.7295000000000001,0.0,0.8736999999999998,0.0035999999999999366,4.999836388888889
0.7739666666666667,0.0,0.8993000000000002,0.0041999999999999815,5.249828333333333
0.8131666666666666,0.0,0.9249999999999998,0.004633333333333267,5.4998233333333335
0.8469999999999999,0.0,0.9540999999999998,0.0034999999999999476,5.749814444444444
0.8780666666666666,0.0,0.9796666666666667,0.0043333333333333,5.999808888888889
0.9027666666666667,0.0,1.0015666666666667,0.0034666666666666734,6.249799166666667
0.9276666666666666,0.0,1.0289333333333333,0.00599999999999995,6.499797500000001
0.9480666666666665,0.0,1.0528,0.004666666666666652,6.749787222222222
0.9745666666666666,0.0,1.0802,0.00656666666666661,6.9997799999999994
0.9945666666666668,0.0,1.0997333333333332,0.005800000000000083,7.249773055555556
1.0164,0.0,1.1219666666666666,0.0045999999999999375,7.499768888888889
1.0369666666666666,0.0,1.1448333333333334,0.004233333333333256,7.749759444444444
1.0578666666666667,0.0,1.1676666666666669,0.0030666666666667175,7.999753055555556
