H2O_PERM4,H2O_CYPERM2,H2O_PERM7,H2O_LCY3,H2O_CISPERM1,TIME[H]
0.014000000000000012,0.023233333333333384,0.02460000000000001,0.02373333333333333,0.006833333333333344,0.0
0.01633333333333334,0.023366666666666674,0.026400000000000035,0.0262,0.0073333333333333445,0.24996361111111112
0.0159333333333333,0.02446666666666665,0.02443333333333332,0.027800000000000005,0.004433333333333331,0.49995527777777776
0.015999999999999986,0.021333333333333315,0.023599999999999982,0.029733333333333306,0.003266666666666654,0.7499525
0.015700000000000006,0.018366666666666656,0.022499999999999992,0.030333333333333323,0.0024666666666666587,0.9999425000000001
0.01596666666666667,0.018533333333333332,0.0227666666666667,0.03123333333333335,0.001866666666666697,1.2499352777777777
0.016400000000000012,0.016366666666666682,0.023066666666666694,0.03123333333333335,0.0021000000000000185,1.4999297222222223
0.016666666666666677,0.0165,0.023133333333333353,0.03119999999999999,0.001899999999999999,1.7499230555555556
0.016933333333333314,0.01633333333333331,0.022933333333333347,0.032099999999999976,0.0029,1.9999158333333333
0.01653333333333333,0.015866666666666668,0.02336666666666669,0.032000000000000015,0.0018666666666666831,2.249912222222222
0.016633333333333347,0.015300000000000022,0.02333333333333333,0.032066666666666674,0.002800000000000011,2.499902777777778
0.01733333333333334,0.015333333333333338,0.023733333333333356,0.032366666666666655,0.003066666666666662,2.7498958333333334
0.017333333333333326,0.015733333333333335,0.023866666666666717,0.0329,0.0032000000000000084,2.9998899999999997
0.01709999999999999,0.01573333333333332,0.02460000000000001,0.03326666666666667,0.0031333333333333213,3.2498830555555553
0.01756666666666666,0.01686666666666667,0.02626666666666666,0.03489999999999999,0.003599999999999992,3.499876388888889
0.017,0.01630000000000001,0.02573333333333333,0.034366666666666684,0.002999999999999989,3.749868333333333
0.017100000000000018,0.016200000000000006,0.02603333333333334,0.034100000000000005,0.0020333333333333314,3.9998652777777775
0.017633333333333348,0.017366666666666655,0.0281,0.03473333333333335,0.0025000000000000022,4.249856666666667
0.019466666666666674,0.019266666666666668,0.03073333333333335,0.03643333333333336,0.0036333333333333634,4.499849444444445
0.01949999999999999,0.019066666666666676,0.03216666666666668,0.037000000000000005,0.003333333333333341,4.749842777777778
0.019599999999999992,0.020033333333333347,0.03346666666666667,0.03673333333333331,0.002066666666666661,4.999836388888889
0.02086666666666666,0.021433333333333318,0.03583333333333334,0.03733333333333334,0.0029333333333333295,5.249828333333333
0.022199999999999984,0.0232,0.03806666666666669,0.03843333333333332,0.0029333333333333572,5.4998233333333335
0.02120000000000001,0.021533333333333335,0.039066666666666694,0.03703333333333336,0.0016333333333333616,5.749814444444444
0.022233333333333355,0.023933333333333348,0.042133333333333314,0.038366666666666674,0.002800000000000011,5.999808888888889
0.02373333333333337,0.0232666666666667,0.044033333333333355,0.038300000000000015,0.002233333333333365,6.249799166666667
0.026166666666666658,0.024066666666666695,0.04529999999999999,0.03860000000000001,0.0025666666666666754,6.499797500000001
0.028099999999999986,0.02410000000000001,0.04653333333333334,0.03949999999999998,0.002599999999999991,6.749787222222222
0.028833333333333322,0.023800000000000043,0.04733333333333334,0.03920000000000001,0.0010000000000000286,6.9997799999999994
