PERMETHRIN_PERM4,PERMETHRIN_CYPERM2,PERMETHRIN_PERM7,PERMETHRIN_CISPERM1,TIME[H]
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.24996361111111112
0.0,0.0,0.0,0.0,0.49995527777777776
0.0,0.0,0.0,0.0,0.7499525
0.0,0.0,0.0,0.0,0.9999425000000001
0.0,0.0,0.0,0.0,1.2499352777777777
0.0,0.0,0.0,0.0,1.4999297222222223
0.0,0.0,0.0,0.0,1.7499230555555556
0.0,0.0,0.0,0.0,1.9999158333333333
0.0,0.0,0.0,0.0,2.249912222222222
0.0,0.0,0.0,0.0,2.499902777777778
0.0,0.0,0.0,0.0,2.7498958333333334
0.0,0.0,0.0,0.0,2.9998899999999997
0.0,0.0,0.0,0.0,3.2498830555555553
0.0,0.0,0.0,0.0,3.499876388888889
0.0,0.0,0.0,0.0,3.749868333333333
0.0,0.0,0.0,0.0,3.9998652777777775
0.0,0.0,0.0,0.0,4.249856666666667
0.0,0.0,0.0,0.0,4.499849444444445
0.0,0.0,0.0,0.0,4.749842777777778
0.0,0.0,0.0,0.0,4.999836388888889
0.0,0.0,0.0,0.0,5.249828333333333
0.0,0.0,0.0,0.0,5.4998233333333335
0.0,0.0,0.0,0.0,5.749814444444444
0.0,0.0,0.0,0.0,5.999808888888889
0.0,0.0,0.0,0.0,6.249799166666667
0.0,0.0,0.0,0.0,6.499797500000001
0.0,0.0,0.0,0.0,6.749787222222222
0.0,0.0,0.0,0.0,6.9997799999999994
0.0,0.0,0.0,0.0,7.249773055555556
0.0,0.0,0.0,0.0,7.499768888888889
0.0,0.0,0.0,0.0,7.749759444444444
0.0,0.0,0.0,0.0,7.999753055555556
0.0,0.0,0.0,0.0,8.249745833333334
0.0,0.0,0.0,0.0,8.499743055555555
0.0,0.0,0.0,0.0,8.749732222222223
0.0,0.0,0.0,0.0,8.999725277777777
0.0,0.0,0.0,0.0,9.249720555555555
0.0,0.0,0.0,0.0,9.499715555555555
0.0,0.0,0.0,0.0,9.749706111111111
0.0,0.0,0.0,0.0,9.999699166666668
0.0,0.0,0.0,0.0,10.249691944444445
0.0,0.0,0.0,0.0,10.499687777777776
0.0,0.0,0.0,0.0,10.749678611111111
0.0,0.0,0.0,0.0,10.99967138888889
0.0,0.0,0.0,0.0,11.249666111111111
0.0,0.0,0.0,0.0,11.499658888888888
0.0,0.0,0.0,0.0,11.74965138888889
0.0,0.0,0.0,0.0,11.999645277777777
0.0,0.0,0.0,0.0,12.2496375
0.0,0.0,0.0,0.0,12.499631944444445
0.0,0.0,0.0,0.0,12.749624722222222
0.0,0.0,0.0,0.0,12.999617777777779
0.0,0.0,0.0,0.0,13.249613333333333
0.0,0.0,0.002166666666666761,0.0,13.49960361111111
0.0,0.0,0.0033333333333334103,0.0,13.749596666666667
0.0,0.0,0.005166666666666597,0.0,13.999589444444444
0.0,0.0,0.0033666666666666845,0.0,14.249583333333334
0.0,0.0,0.010033333333333394,0.0,14.499578611111112
0.0,0.0,0.007933333333333292,0.0,14.749569722222223
0.0014666666666665606,0.0,0.012266666666666648,0.0,14.999563333333333
0.003966666666666674,0.0,0.015466666666666573,0.0,15.249559444444444
0.005633333333333379,0.0,0.01533333333333331,0.0,15.499553055555557
0.007800000000000029,0.0,0.01816666666666672,0.0,15.749544166666666
0.00830000000000003,0.0,0.018100000000000005,0.0,15.999536111111112
0.013333333333333308,0.0,0.022800000000000042,0.0,16.24953361111111
0.013033333333333341,0.0,0.025999999999999968,0.0,16.499523611111112
0.016266666666666707,0.0,0.030266666666666664,0.0,16.7495175
0.014566666666666672,0.0,0.028166666666666673,0.0,16.999513333333333
0.018833333333333313,0.0,0.03320000000000001,0.0,17.249505555555555
0.017699999999999994,0.0,0.0325333333333333,0.0,17.499499999999998
0.020799999999999985,0.0,0.03726666666666667,0.0,17.74949611111111
0.024399999999999977,0.0,0.04093333333333338,0.0,17.99948611111111
0.024866666666666593,0.0,0.041733333333333344,0.0,18.24948277777778
0.026233333333333386,0.0,0.043999999999999984,0.0,18.499475555555552
0.027666666666666617,0.0,0.04486666666666661,0.0,18.749465555555556
0.028733333333333333,0.0,0.04713333333333336,0.0,18.99946083333333
0.027733333333333332,0.0,0.05016666666666669,0.0,19.2494525
0.03176666666666661,0.0,0.05293333333333333,0.0,19.499444999999998
0.032299999999999995,0.0,0.053766666666666685,0.0,19.74944027777778
0.033366666666666656,0.0,0.05636666666666673,0.0,19.999433333333336
0.0354666666666667,0.0,0.05729999999999991,0.0,20.249426944444448
0.03820000000000001,0.0,0.060866666666666736,0.0,20.499419166666666
0.04026666666666667,0.0,0.06510000000000005,0.0,20.7494125
