LB_PERM4,LB_CYPERM2,LB_PERM7,LB_LCY3,LB_CISPERM1,TIME[H]
0.048933333333333356,0.03626666666666667,0.024266666666666686,0.037500000000000006,0.015399999999999997,0.0
0.05146666666666666,0.03593333333333332,0.026600000000000013,0.03783333333333333,0.012866666666666665,0.24996361111111112
0.05133333333333337,0.03470000000000001,0.03176666666666669,0.0421,0.01366666666666666,0.49995527777777776
0.05496666666666669,0.035400000000000015,0.038566666666666666,0.04886666666666667,0.014433333333333326,0.7499525
0.056933333333333364,0.03450000000000003,0.04583333333333334,0.05046666666666666,0.01256666666666667,0.9999425000000001
0.05889999999999998,0.03373333333333331,0.05946666666666667,0.05046666666666666,0.012166666666666659,1.2499352777777777
0.06593333333333334,0.03560000000000002,0.08613333333333334,0.05353333333333335,0.013433333333333325,1.4999297222222223
0.07383333333333333,0.03363333333333335,0.11636666666666667,0.052733333333333354,0.01266666666666666,1.7499230555555556
0.08906666666666663,0.03179999999999997,0.16323333333333334,0.05379999999999999,0.012366666666666665,1.9999158333333333
0.11660000000000001,0.03210000000000002,0.23320000000000002,0.0562,0.012666666666666687,2.249912222222222
0.1526333333333334,0.030700000000000005,0.3269666666666667,0.05666666666666667,0.01256666666666667,2.499902777777778
0.1969666666666667,0.03030000000000002,0.47220000000000006,0.06243333333333337,0.012466666666666681,2.7498958333333334
0.2639999999999999,0.03196666666666664,0.6284666666666667,0.061600000000000016,0.014366666666666639,2.9998899999999997
0.3386,0.02949999999999997,0.7873666666666668,0.06349999999999995,0.013199999999999962,3.2498830555555553
0.45683333333333326,0.02949999999999997,0.9137666666666668,0.06696666666666665,0.013199999999999962,3.499876388888889
0.6827000000000001,0.03076666666666672,1.0053666666666665,0.07090000000000002,0.014333333333333365,3.749868333333333
0.8646333333333335,0.033866666666666656,1.0764,0.07746666666666668,0.015833333333333366,3.9998652777777775
0.9968333333333331,0.03419999999999998,1.1280000000000001,0.08149999999999996,0.016699999999999965,4.249856666666667
1.0920333333333334,0.03486666666666666,1.1630333333333334,0.08716666666666664,0.016133333333333333,4.499849444444445
1.1559333333333335,0.035933333333333345,1.1942333333333333,0.09456666666666663,0.017166666666666663,4.749842777777778
1.2062333333333333,0.03879999999999997,1.2263,0.10136666666666669,0.015999999999999986,4.999836388888889
1.2410666666666668,0.04226666666666665,1.2565666666666666,0.11179999999999998,0.017199999999999965,5.249828333333333
1.2699999999999998,0.043233333333333346,1.2837999999999998,0.12013333333333331,0.01680000000000001,5.4998233333333335
1.2921666666666667,0.04613333333333333,1.305566666666667,0.12836666666666668,0.015866666666666696,5.749814444444444
1.3138666666666665,0.050600000000000006,1.3274,0.14,0.01733333333333334,5.999808888888889
1.3375666666666668,0.054300000000000015,1.3488000000000002,0.14866666666666667,0.01676666666666668,6.249799166666667
1.3539,0.05829999999999999,1.3637000000000001,0.15809999999999994,0.016666666666666635,6.499797500000001
1.3744666666666667,0.060699999999999976,1.3841333333333332,0.1701666666666667,0.01686666666666664,6.749787222222222
1.3888000000000003,0.06506666666666666,1.4001,0.18006666666666668,0.017499999999999988,6.9997799999999994
1.4054333333333335,0.07,1.4186999999999999,0.19256666666666666,0.01933333333333334,7.249773055555556
1.4184333333333334,0.07256666666666667,1.4358666666666664,0.20313333333333333,0.01849999999999999,7.499768888888889
1.4313666666666667,0.07753333333333334,1.4514333333333331,0.2147666666666667,0.020066666666666677,7.749759444444444
1.4482333333333335,0.08029999999999995,1.4657,0.22596666666666665,0.019166666666666665,7.999753055555556
1.4625,0.08619999999999994,1.481266666666667,0.2388,0.020966666666666633,8.249745833333334
1.476066666666667,0.08879999999999999,1.4976333333333336,0.2458,0.020266666666666655,8.499743055555555
1.4872666666666665,0.09310000000000002,1.5087333333333333,0.25503333333333333,0.021766666666666656,8.749732222222223
1.5014666666666667,0.09369999999999998,1.5242,0.26393333333333335,0.022833333333333317,8.999725277777777
1.5155666666666665,0.09699999999999995,1.5375,0.2737666666666667,0.023266666666666658,9.249720555555555
1.5247999999999997,0.09966666666666671,1.5491000000000001,0.2832,0.02460000000000004,9.499715555555555
1.5383,0.10010000000000005,1.5621333333333332,0.2898666666666666,0.02510000000000004,9.749706111111111
1.5501333333333336,0.10223333333333331,1.5734666666666668,0.2981,0.024166666666666642,9.999699166666668
1.5615333333333332,0.10573333333333332,1.5839666666666667,0.3078333333333333,0.026400000000000007,10.249691944444445
1.5746,0.10713333333333336,1.5968333333333333,0.3147333333333333,0.026833333333333348,10.499687777777776
1.5841999999999998,0.10779999999999998,1.6052666666666666,0.32146666666666657,0.0261666666666667,10.749678611111111
1.5942666666666667,0.1078,1.6170666666666664,0.3250666666666666,0.02586666666666665,10.99967138888889
1.6050666666666669,0.11049999999999996,1.6265,0.32919999999999994,0.026699999999999974,11.249666111111111
1.6165333333333334,0.11176666666666671,1.6379666666666666,0.33769999999999994,0.028100000000000014,11.499658888888888
1.6263999999999998,0.11396666666666666,1.6485333333333334,0.3399333333333334,0.028166666666666645,11.74965138888889
1.6329,0.1136,1.6533333333333335,0.34453333333333336,0.027599999999999986,11.999645277777777
1.6439000000000001,0.11493333333333336,1.6636333333333333,0.3473666666666666,0.027466666666666695,12.2496375
1.6539666666666668,0.1183666666666667,1.6728666666666667,0.3536666666666667,0.031399999999999956,12.499631944444445
1.6615666666666666,0.11783333333333332,1.6806000000000003,0.3542333333333333,0.02863333333333329,12.749624722222222
1.6693999999999998,0.1188666666666667,1.6876666666666666,0.3571333333333333,0.027566666666666656,12.999617777777779
1.6788000000000003,0.12046666666666664,1.6956666666666667,0.3614333333333334,0.028566666666666685,13.249613333333333
1.6851999999999998,0.12066666666666664,1.7028999999999996,0.3632666666666667,0.02933333333333335,13.49960361111111
1.6950333333333334,0.12306666666666669,1.7107666666666668,0.3688000000000001,0.029099999999999987,13.749596666666667
1.6995333333333338,0.12396666666666664,1.7146999999999997,0.3696666666666667,0.028233333333333305,13.999589444444444
1.7064666666666664,0.12639999999999993,1.7208666666666663,0.37139999999999995,0.028766666666666635,14.249583333333334
1.7125000000000001,0.12816666666666668,1.7259,0.3746666666666666,0.030600000000000016,14.499578611111112
1.7193666666666667,0.1276666666666667,1.7328666666666663,0.3786,0.02983333333333335,14.749569722222223
1.7255999999999998,0.12790000000000004,1.7381666666666669,0.3798,0.02993333333333334,14.999563333333333
1.7318333333333333,0.1291,1.7433999999999998,0.38396666666666673,0.030833333333333324,15.249559444444444
1.735466666666667,0.128,1.7444666666666664,0.38546666666666674,0.02906666666666663,15.499553055555557
1.7413333333333334,0.12906666666666666,1.7497333333333334,0.3891,0.02973333333333336,15.749544166666666
1.7451666666666665,0.1301333333333333,1.753966666666667,0.39183333333333337,0.030133333333333318,15.999536111111112
1.7514333333333334,0.13396666666666668,1.759233333333333,0.3970999999999999,0.03313333333333332,16.24953361111111
1.7505666666666666,0.1312333333333333,1.756666666666667,0.3982666666666666,0.030933333333333313,16.499523611111112
1.7554999999999998,0.13116666666666668,1.7594666666666667,0.40193333333333336,0.031366666666666654,16.7495175
1.7589666666666668,0.13253333333333334,1.7634666666666665,0.4073,0.03179999999999997,16.999513333333333
1.7619,0.13193333333333335,1.764533333333333,0.4097,0.03140000000000004,17.249505555555555
1.7651333333333332,0.13356666666666672,1.7693666666666665,0.4156666666666667,0.03086666666666668,17.499499999999998
1.7645000000000002,0.13283333333333336,1.7675000000000003,0.4204666666666666,0.028500000000000025,17.74949611111111
1.7672,0.1332,1.7699666666666662,0.4267333333333333,0.028033333333333327,17.99948611111111
1.7713333333333336,0.13390000000000002,1.7736666666666667,0.43300000000000005,0.02836666666666665,18.24948277777778
1.7734666666666665,0.13669999999999996,1.776933333333333,0.44033333333333335,0.03203333333333333,18.499475555555552
1.7721000000000002,0.134,1.7751666666666668,0.4429666666666668,0.0271666666666667,18.749465555555556
1.7741333333333331,0.1345,1.775733333333333,0.4545999999999998,0.02746666666666664,18.99946083333333
1.7762666666666667,0.13390000000000002,1.7794333333333334,0.46146666666666664,0.027033333333333326,19.2494525
1.7786666666666666,0.135,1.7817,0.4697,0.025666666666666643,19.499444999999998
1.7806666666666666,0.13743333333333332,1.7836000000000003,0.4811666666666665,0.02889999999999998,19.74944027777778
