TIME[H],DIAZINON_DIAZ11_blanked,DIAZINON_DIAZ18_blanked,DIAZINON_DIAZ21_blanked,DIAZINON_DIAZ22_blanked,DIAZINON_DIAZ23_blanked,DIAZINON_DIAZ26_blanked,DIAZINON_DIAZ28_blanked,DIAZINON_DIAZ8_blanked
0.0,0.0,0.00626666666666667,9.999999999998899e-05,0.0,0.0,0.0008666666666666684,9.999999999998899e-05,0.004133333333333322
0.4999583333333333,0.0,0.006366666666666687,0.0,0.0,0.0,0.0006333333333333468,0.0,0.004033333333333347
0.9999441666666666,0.0,0.006033333333333335,0.0,0.0,0.0,0.0002999999999999947,0.0,0.0037333333333333385
1.4999347222222223,0.0,0.005733333333333326,0.0,0.0,0.0,3.333333333332966e-05,0.0,0.0032666666666666816
1.9999183333333335,0.0,0.006099999999999994,0.0,0.0,0.0,0.0,0.0,0.002899999999999986
2.499903888888889,0.0,0.006333333333333344,0.0,0.0,0.0,0.0,0.0,0.0027333333333333376
2.9998916666666666,0.0,0.005666666666666653,0.0,0.0,0.0,0.0,0.0,0.0021999999999999936
3.499880833333333,0.0,0.006133333333333324,0.0,0.0,0.0,0.0,0.0,0.002066666666666661
3.9998652777777775,0.0,0.005600000000000008,0.0,0.0,0.0,0.0,0.0,0.0021999999999999936
4.499851666666666,0.0,0.00576666666666667,0.0,0.0,0.0,0.0,0.0,0.001899999999999999
4.999838333333334,0.0,0.005099999999999993,0.0,0.0,0.0,0.0,0.0,0.0016333333333333477
5.49982388888889,0.0,0.005233333333333326,0.0,0.0,0.0,0.0,0.0,0.0016333333333333339
5.999810833333333,0.0,0.005866666666666645,0.0,0.0,0.0,0.0,0.0,0.0014666666666666717
6.499797500000001,0.0,0.006066666666666665,0.0,0.0,0.0,0.0,0.0,0.0013999999999999985
6.999782777777778,0.0,0.005933333333333346,0.0,0.0,0.0,0.0,0.0,0.001333333333333353
7.4997702777777775,0.0,0.004433333333333345,0.0,0.0,0.0,0.0,0.0,0.001266666666666666
7.999758611111112,0.0,0.004733333333333339,0.0,0.0,0.0,0.0,0.0,0.0011333333333333334
8.499742222222222,0.0,0.004699999999999996,0.0,0.0,0.0,0.0,0.0,0.0011999999999999927
8.999730555555555,0.0,0.0054666666666666475,0.0,0.0,0.0,0.0,0.0,0.0012999999999999817
9.499716666666668,0.0,0.005566666666666664,0.0,0.0,0.0,0.0,0.0,0.0009000000000000119
9.9997025,0.0,0.006099999999999994,0.0,0.0,0.0,0.0,0.0,0.000800000000000009
10.49969,0.0,0.0055333333333333345,0.0,0.0,0.0,0.0,0.0,0.0009333333333333416
10.999678888888889,0.0,0.006733333333333327,0.0,0.0,0.0,0.0,0.0,0.0007000000000000062
11.49966361111111,0.0,0.004699999999999996,0.0,0.0,0.0,0.0,0.0,0.0005999999999999894
11.999649166666668,0.0,0.005266666666666656,0.0,0.0,0.0,0.0,0.0,0.0006333333333333191
12.499639444444444,0.0,0.006199999999999997,0.0,0.0,0.0,0.0,0.0,0.0004666666666666708
12.999623333333334,0.0,0.004266666666666655,0.0,0.0,0.0,0.0,0.0,0.0004333333333333411
13.499609722222223,0.0,0.004600000000000007,0.0,0.0,0.0,0.0,0.0,0.0001666666666666622
13.99959777777778,0.0,0.003766666666666682,0.0,0.0,0.0,0.0,0.0,3.333333333332966e-05
14.499584444444444,0.0,0.005866666666666645,0.0,0.0,0.0,0.0,0.0,0.010433333333333336
14.999569722222223,0.0,0.005866666666666673,0.0,0.0,0.0,0.0,0.0,0.0
15.499556944444445,0.0,0.005333333333333315,0.0,0.0,0.0,0.0,0.0,0.0002666666666666512
15.999545555555557,0.0,0.005333333333333343,0.0,0.0,0.0,0.0,0.0,0.0
16.499530833333335,0.0,0.004100000000000006,0.0,0.0,0.0,0.0,0.0,0.0
16.9995175,0.0,0.005833333333333343,0.0,0.0,0.0,0.0,0.0,0.0
17.499502777777778,0.0,0.006799999999999987,0.0,0.0,0.0,0.0,0.0,0.0
17.999493055555558,0.0,0.004566666666666663,0.0,0.0,0.0,0.0,0.0,0.0
18.49947444444444,0.0,0.005300000000000013,0.0,0.0,0.0,0.0,0.0,0.0
18.999466111111108,0.0,0.005600000000000022,0.0,0.0,0.0,0.0,0.0,0.0
19.499447777777778,0.0,0.005133333333333351,0.0,0.0,0.0,0.0,0.0,0.0
19.999435277777778,0.0,0.004666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
20.499420277777777,0.0,0.004033333333333333,0.0,0.0,0.0,0.0,0.0,0.0
20.99940833333333,0.0,0.004966666666666675,0.0,0.0,0.0,0.0,0.0,0.0
21.49939388888889,0.0,0.006199999999999997,0.0,0.0,0.0,0.0,0.0,0.0
21.99938138888889,0.0,0.005433333333333318,0.0,0.0,0.0,0.0,0.0,0.0
22.499370000000003,0.0,0.004600000000000007,0.0,0.0,0.0,0.0,0.0,0.0
22.99935361111111,0.0,0.00470000000000001,0.0,0.0,0.0,0.0,0.0,0.0
23.499339166666665,0.0,0.0033666666666666706,0.0,0.0,0.0,0.0,0.0,0.0
23.999325555555554,0.0,0.005699999999999997,0.0,0.0,0.0,0.0,0.0,0.0
24.499312222222223,0.0,0.00463333333333335,0.0,0.0,0.0,0.0,0.0,0.0
24.999301944444444,0.0,0.004866666666666672,0.0,0.0,0.0,0.0,0.0,0.0
25.499286666666666,0.0,0.00393333333333333,0.0,0.0,0.0,0.0,0.0,0.0
25.999271388888886,0.0,0.00503333333333332,0.0,0.0,0.0,0.0,0.0,0.0
26.49926111111111,0.0,0.004866666666666658,0.0,0.0,0.0,0.0,0.0,0.0
26.999245000000002,0.0,0.004233333333333339,0.0,0.0,0.0,0.0,0.0,0.0
27.49922972222222,0.0,0.004666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
27.999220555555556,0.0,0.005066666666666664,0.0,0.0,0.0,0.0,0.0,0.0
28.499204444444445,0.0,0.0038333333333333414,0.0,0.0,0.0,0.0,0.0,0.0
28.99919361111111,0.0,0.004033333333333333,0.0,0.0,0.0,0.0,0.0,0.0
