TIME[H],MALATHIONANDG_MAL1_blanked,MALATHIONANDG_MAL10_blanked,MALATHIONANDG_MAL2_blanked,MALATHIONANDG_MAL3_blanked,MALATHIONANDG_MAL4_blanked,MALATHIONANDG_MAL5_blanked,MALATHIONANDG_MAL6_blanked,MALATHIONANDG_MAL7_blanked,MALATHIONANDG_MAL8_blanked
0.0,0.0,0.0,0.0,0.002966666666666673,0.0,0.0,0.0,0.0013333333333333114,0.0
0.49995277777777775,0.0,0.0,0.0,0.003516666666666668,0.0,0.0,0.0,0.0019166666666666637,0.0
0.9999386111111112,0.0,0.0,0.0,0.0038333333333333414,0.0,0.0,0.0,0.002433333333333329,0.0
1.4999266666666666,0.0,0.0,0.0,0.004699999999999996,0.0,0.0,0.0,0.002799999999999997,0.0
1.9999147222222222,0.0,0.0,0.0,0.005583333333333329,0.0,0.0,0.0,0.003249999999999989,0.0
2.499899722222222,0.0,0.0,0.0,0.006433333333333319,0.0,0.0,0.0,0.0036666666666666653,0.0
2.9998844444444446,0.0,0.0,0.0,0.007916666666666669,0.0,0.0,0.0,0.0039166666666666655,0.0
3.4998722222222223,0.0,0.0,0.0,0.008849999999999983,0.0,0.0,0.0,0.004150000000000001,0.0
3.999859166666667,0.0,0.0,0.0,0.01008333333333332,0.0,0.0,0.0,0.004083333333333342,0.0
4.4998458333333335,0.0,0.0,0.0,0.012133333333333343,0.0,0.0,0.0,0.004200000000000009,0.0
4.9998322222222225,0.0,0.0,0.0,0.014683333333333326,0.0,0.0,0.0,0.004716666666666647,0.0
5.499819166666666,0.0,0.0,0.0010333333333333306,0.01613333333333332,0.0,0.0,0.0,0.004266666666666669,0.0
5.999805555555556,0.0,0.0,0.0028166666666666756,0.016266666666666665,0.0,0.0,0.0,0.004666666666666694,0.0
6.499790555555555,0.0,0.0,0.004800000000000013,0.015899999999999997,0.0,0.0,0.0,0.004933333333333317,0.0
6.999777222222222,0.0,0.0,0.008083333333333345,0.016499999999999987,0.0,0.0,0.0,0.004733333333333339,0.0
7.499766388888888,0.0,0.0,0.011233333333333317,0.017166666666666677,0.0,0.0,0.0,0.004966666666666647,0.0
7.999750833333333,0.0,0.0,0.012766666666666662,0.016416666666666663,0.0,0.0,0.0,0.005283333333333334,0.0
8.499738888888889,0.0,0.0,0.013116666666666665,0.016116666666666668,0.0,0.0,0.0,0.005983333333333327,0.0
8.999724444444444,0.0,0.0,0.013033333333333341,0.015649999999999997,0.0,0.0,0.0,0.006483333333333327,0.0
9.49971,0.0,0.0,0.01280000000000002,0.015833333333333352,0.0,0.0,0.0,0.007466666666666677,0.0
9.999696944444445,0.0,0.0,0.012833333333333322,0.015350000000000003,0.0,0.0,0.0,0.008249999999999993,0.0
10.499684722222222,6.66666666666732e-05,0.0,0.013466666666666655,0.015233333333333349,0.0,0.0,0.0,0.009466666666666665,0.0
10.999669722222222,0.0,0.0,0.012966666666666668,0.015350000000000003,0.0,0.0,0.0,0.011383333333333343,0.0
11.499655833333334,9.999999999998899e-05,0.0,0.013466666666666668,0.01556666666666666,0.0,0.0,0.0,0.013799999999999993,9.999999999998899e-05
11.999643055555554,0.00013333333333333253,0.0005000000000000004,0.013433333333333339,0.015383333333333346,0.0,0.0,0.0,0.016716666666666685,0.0008333333333333109
12.499631666666666,0.00028333333333334376,0.0014833333333333365,0.013616666666666666,0.01553333333333333,0.0,0.0,0.0,0.020300000000000012,0.0015833333333333394
12.999614444444445,0.00038333333333333275,0.002783333333333346,0.013249999999999998,0.01568333333333334,0.0,0.0,0.0,0.022249999999999978,0.0028500000000000053
13.499602777777778,0.000733333333333322,0.0034666666666666596,0.013533333333333328,0.016100000000000003,0.0,0.0,0.0,0.023199999999999985,0.004300000000000012
13.99959,0.0013333333333333391,0.005466666666666661,0.013499999999999998,0.016433333333333328,0.0,0.0,0.0006666666666666626,0.02276666666666667,0.006099999999999994
14.499574166666665,0.001266666666666652,0.007299999999999987,0.013266666666666649,0.016766666666666666,0.0,0.0,0.0014999999999999875,0.02283333333333333,0.0077999999999999875
14.999561111111111,0.0018333333333333257,0.009599999999999997,0.013966666666666655,0.016666666666666663,0.0,0.0,0.0026666666666666644,0.02223333333333334,0.01029999999999999
15.49955,0.0021000000000000046,0.01213333333333333,0.013999999999999985,0.016533333333333344,0.0,0.0,0.0039333333333333165,0.022199999999999998,0.012799999999999992
15.999534166666665,0.002699999999999994,0.015,0.014100000000000001,0.01715,0.0,0.0,0.006000000000000005,0.022650000000000003,0.014799999999999994
16.49952222222222,0.0033500000000000058,0.01628333333333333,0.014116666666666666,0.01725,0.0,0.0,0.00788333333333334,0.022650000000000003,0.016216666666666657
16.9995075,0.004016666666666668,0.01628333333333333,0.014016666666666663,0.017483333333333323,0.0,0.0,0.009849999999999984,0.022716666666666677,0.016983333333333336
17.499493055555558,0.005033333333333334,0.016466666666666657,0.014333333333333323,0.018316666666666676,0.0,0.0,0.011133333333333328,0.023283333333333323,0.018033333333333318
17.999480833333333,0.005783333333333321,0.01621666666666667,0.014549999999999993,0.018699999999999994,0.0,0.0,0.011683333333333337,0.023333333333333345,0.018283333333333332
18.499467222222222,0.006966666666666649,0.015899999999999997,0.014966666666666656,0.01928333333333332,0.0,0.0,0.011833333333333335,0.02388333333333334,0.018066666666666675
18.999456944444443,0.00818333333333332,0.01591666666666665,0.015449999999999978,0.020250000000000004,0.0,0.0,0.013049999999999992,0.024483333333333343,0.01784999999999999
19.499440555555555,0.009633333333333327,0.015633333333333332,0.01546666666666667,0.020916666666666653,0.0,0.0,0.013366666666666666,0.024749999999999994,0.017633333333333334
19.99942666666667,0.010833333333333334,0.015533333333333343,0.015433333333333327,0.021500000000000005,0.0,0.0,0.013399999999999995,0.024933333333333335,0.017766666666666667
20.499413333333337,0.01153333333333334,0.015333333333333352,0.015400000000000011,0.022099999999999995,0.0,0.0,0.013233333333333333,0.025599999999999998,0.017833333333333326
20.999401388888888,0.012183333333333338,0.015616666666666654,0.01584999999999999,0.023249999999999993,0.0,0.0,0.013183333333333325,0.026283333333333325,0.01785000000000002
21.49938611111111,0.012466666666666668,0.01546666666666667,0.016100000000000003,0.024283333333333337,0.0,0.0,0.01283333333333335,0.026716666666666666,0.018033333333333332
21.9993725,0.012966666666666682,0.015766666666666665,0.016166666666666663,0.025316666666666654,0.0,0.0,0.013266666666666663,0.027083333333333334,0.018400000000000014
22.499359722222223,0.013150000000000009,0.01571666666666667,0.01631666666666666,0.026233333333333345,0.0,0.0,0.012749999999999997,0.0276,0.018383333333333335
22.99934611111111,0.013683333333333339,0.01575,0.01671666666666667,0.027333333333333334,0.0,0.0,0.012883333333333344,0.027900000000000008,0.018783333333333332
23.499332222222222,0.014516666666666664,0.016149999999999998,0.01708333333333334,0.02848333333333332,0.0,0.0,0.013149999999999995,0.02841666666666666,0.019283333333333333
23.999318055555555,0.014950000000000019,0.015983333333333336,0.017216666666666672,0.029933333333333326,0.0,0.0,0.013383333333333344,0.028999999999999998,0.01951666666666667
24.499305555555555,0.015899999999999984,0.016366666666666654,0.017466666666666672,0.03138333333333333,0.0,0.0,0.013866666666666652,0.029616666666666652,0.020066666666666663
24.999293055555555,0.016149999999999998,0.016549999999999995,0.01791666666666665,0.03236666666666667,0.0,0.0,0.014050000000000007,0.03016666666666666,0.02045000000000001
25.499279444444443,0.016316666666666674,0.016983333333333336,0.018083333333333354,0.03383333333333334,0.0,0.0,0.014250000000000013,0.030633333333333332,0.020916666666666667
25.999265,0.016399999999999998,0.017266666666666666,0.01846666666666666,0.03474999999999999,0.0,0.0004666666666666708,0.014633333333333332,0.03094999999999999,0.02153333333333335
26.499252222222225,0.016633333333333333,0.017766666666666667,0.018633333333333335,0.03618333333333332,0.0006000000000000033,0.001066666666666674,0.015033333333333343,0.03151666666666665,0.022199999999999998
26.999236944444444,0.01671666666666667,0.018150000000000013,0.01878333333333336,0.037816666666666665,0.0014833333333333504,0.0017166666666666858,0.015316666666666659,0.03215,0.022683333333333347
27.499225000000003,0.01678333333333333,0.01835000000000002,0.01925000000000003,0.03895000000000001,0.0026499999999999996,0.0026499999999999996,0.015550000000000008,0.03255000000000001,0.023116666666666674
27.999211111111112,0.017233333333333323,0.019000000000000003,0.019533333333333333,0.03998333333333333,0.0043666666666666715,0.004033333333333333,0.01606666666666666,0.03295000000000002,0.024033333333333337
28.4991975,0.01731666666666666,0.019316666666666663,0.01958333333333334,0.04110000000000001,0.006183333333333332,0.005216666666666661,0.01625,0.03313333333333332,0.024316666666666667
28.999186944444446,0.01745000000000002,0.01988333333333335,0.01991666666666668,0.04228333333333331,0.008749999999999994,0.006816666666666679,0.01581666666666666,0.033983333333333324,0.024916666666666684
29.499172777777776,0.017483333333333337,0.020016666666666683,0.02038333333333335,0.04323333333333332,0.011583333333333348,0.00941666666666667,0.015550000000000008,0.03423333333333334,0.025216666666666665
29.999156944444444,0.017616666666666655,0.019849999999999993,0.02071666666666666,0.044566666666666685,0.014783333333333315,0.010883333333333314,0.015416666666666676,0.03463333333333335,0.025550000000000003
30.499143611111112,0.01793333333333333,0.01976666666666667,0.020733333333333326,0.04531666666666667,0.019266666666666668,0.011966666666666653,0.015100000000000002,0.03474999999999999,0.026099999999999984
30.99913,0.01833333333333334,0.019866666666666657,0.021333333333333343,0.046316666666666645,0.021000000000000005,0.013733333333333334,0.015233333333333335,0.03518333333333333,0.026800000000000004
