TIME[H],MALATHIONANDLB_MAL2_blanked
0.0,0.000800000000000009
0.49995277777777775,0.0015666666666666745
0.9999386111111112,0.002966666666666659
1.4999266666666666,0.005933333333333332
1.9999147222222222,0.011166666666666672
2.499899722222222,0.0247
2.9998844444444446,0.039033333333333364
3.4998722222222223,0.0537
3.999859166666667,0.07203333333333331
4.4998458333333335,0.09306666666666669
4.9998322222222225,0.11456666666666665
5.499819166666666,0.13753333333333334
5.999805555555556,0.16293333333333335
6.499790555555555,0.18736666666666665
6.999777222222222,0.21343333333333336
7.499766388888888,0.24060000000000004
7.999750833333333,0.26726666666666665
8.499738888888889,0.2945
8.999724444444444,0.32383333333333336
9.49971,0.3531333333333333
9.999696944444445,0.3806
10.499684722222222,0.4083666666666666
10.999669722222222,0.43603333333333333
11.499655833333334,0.46026666666666666
11.999643055555554,0.48536666666666667
12.499631666666666,0.5102
12.999614444444445,0.5303
13.499602777777778,0.5503666666666667
13.99959,0.5684333333333335
14.499574166666665,0.5837
14.999561111111111,0.5959000000000001
15.49955,0.6060000000000001
15.999534166666665,0.6159333333333333
16.49952222222222,0.625
16.9995075,0.6330666666666667
17.499493055555558,0.6401333333333333
17.999480833333333,0.6449333333333334
18.499467222222222,0.6510666666666667
18.999456944444443,0.6562333333333333
19.499440555555555,0.6602333333333333
19.99942666666667,0.6623333333333334
20.499413333333337,0.6658
20.999401388888888,0.6667333333333332
21.49938611111111,0.6677666666666666
21.9993725,0.6681666666666666
22.499359722222223,0.6697333333333333
22.99934611111111,0.6686333333333334
23.499332222222222,0.6686333333333332
23.999318055555555,0.6651333333333332
24.499305555555555,0.6633
24.999293055555555,0.6608333333333332
25.499279444444443,0.6587000000000001
25.999265,0.6548333333333332
26.499252222222225,0.6540666666666667
26.999236944444444,0.6535
27.499225000000003,0.6528
27.999211111111112,0.6520333333333332
28.4991975,0.651
28.999186944444446,0.6525333333333333
29.499172777777776,0.6517999999999999
29.999156944444444,0.6529999999999999
30.499143611111112,0.6536333333333333
30.99913,0.6541999999999999
31.49911694444444,0.6551
31.999105277777776,0.6563333333333333
32.499093333333334,0.6595666666666666
32.99907611111111,0.6620666666666666
33.49906194444445,0.6666333333333334
33.999048333333334,0.6691999999999999
34.49903444444445,0.6737666666666666
34.999024166666665,0.6771333333333334
35.49900916666667,0.6806666666666668
35.99899666666667,0.6837666666666666
36.4989825,0.6876666666666665
36.99896666666667,0.6906000000000001
37.498956944444444,0.6933
37.998940833333336,0.6977333333333333
38.49893111111111,0.6984333333333334
38.998913888888886,0.7003666666666666
39.49889944444445,0.7037666666666667
39.99888611111111,0.7043666666666666
40.49887472222222,0.7082666666666666
40.99885972222222,0.7104333333333333
41.498848055555555,0.7117
41.99883194444445,0.7129
42.498818888888884,0.7155666666666666
42.998805000000004,0.7174666666666667
43.49879222222222,0.7179
43.99878111111111,0.7185666666666666
44.49876527777778,0.7210333333333333
44.998753055555554,0.7213333333333334
45.498738333333336,0.7226666666666666
45.99872416666667,0.7220333333333333
46.498713611111114,0.7253000000000001
46.99869972222222,0.7245666666666666
47.49868777777778,0.7265333333333333
