TIME[H],IMIDACLOPRIDANDLB_IMID1Y_blanked,IMIDACLOPRIDANDLB_IMID2_blanked,IMIDACLOPRIDANDLB_IMID3_blanked,IMIDACLOPRIDANDLB_IMID5_blanked,IMIDACLOPRIDANDLB_IMID6_blanked,IMIDACLOPRIDANDLB_IMID8_blanked,IMIDACLOPRIDANDLB_IMID9Y_blanked
0.0,0.00700000000000002,0.01843333333333333,0.0011333333333333473,0.014700000000000019,0.0019666666666666582,0.010433333333333336,0.009633333333333341
0.4999575,0.014099999999999988,0.02236666666666666,0.0020333333333333176,0.0204,0.002233333333333337,0.018466666666666645,0.013366666666666666
0.9999433333333333,0.015833333333333338,0.029000000000000012,0.0027333333333333376,0.028833333333333322,0.003233333333333338,0.03436666666666667,0.01923333333333334
1.4999308333333334,0.016466666666666657,0.03793333333333332,0.00396666666666666,0.038800000000000015,0.003600000000000006,0.05046666666666666,0.026099999999999998
1.9999169444444445,0.019566666666666677,0.05013333333333332,0.004966666666666661,0.0508,0.004966666666666675,0.06503333333333335,0.034600000000000006
2.499902777777778,0.020966666666666675,0.06569999999999998,0.007100000000000009,0.06216666666666665,0.006766666666666685,0.07516666666666666,0.04529999999999998
2.9998924999999996,0.021000000000000005,0.08123333333333334,0.008899999999999991,0.07520000000000002,0.009333333333333346,0.08039999999999999,0.05629999999999999
3.4998766666666667,0.023000000000000007,0.09466666666666668,0.012133333333333343,0.08620000000000001,0.011999999999999997,0.08603333333333335,0.06753333333333332
3.9998630555555557,0.02356666666666668,0.10686666666666668,0.01603333333333333,0.0955,0.014933333333333326,0.09116666666666669,0.07763333333333333
4.499849722222223,0.025433333333333336,0.11726666666666669,0.020766666666666656,0.10509999999999997,0.01923333333333334,0.09563333333333332,0.08743333333333334
4.999836388888889,0.026966666666666667,0.12776666666666667,0.026999999999999996,0.11533333333333334,0.024800000000000016,0.10106666666666664,0.09659999999999999
5.499822222222222,0.029766666666666677,0.13753333333333334,0.03390000000000003,0.12566666666666665,0.031933333333333355,0.10623333333333335,0.10586666666666665
5.999807777777778,0.031700000000000006,0.14740000000000003,0.04036666666666666,0.13556666666666667,0.04049999999999998,0.11216666666666668,0.11516666666666664
6.499795,0.03386666666666667,0.15609999999999996,0.047533333333333344,0.14543333333333336,0.04953333333333333,0.11756666666666667,0.12476666666666668
6.999781666666666,0.036733333333333354,0.1648333333333333,0.05486666666666666,0.15560000000000002,0.058333333333333334,0.12316666666666665,0.13429999999999997
7.4997686111111115,0.04323333333333333,0.17219999999999996,0.06303333333333333,0.16526666666666673,0.06689999999999997,0.1285,0.1442
7.999754722222222,0.05180000000000003,0.18019999999999997,0.0725666666666667,0.1749,0.07476666666666666,0.13446666666666662,0.15340000000000004
8.499740555555555,0.06113333333333333,0.18679999999999997,0.08406666666666666,0.1845,0.08193333333333332,0.14000000000000004,0.16273333333333334
8.999726944444445,0.07063333333333333,0.19319999999999998,0.09533333333333334,0.19433333333333333,0.08926666666666669,0.14606666666666665,0.17240000000000003
9.499713333333334,0.08333333333333334,0.20016666666666666,0.10569999999999997,0.20420000000000002,0.09646666666666667,0.1518666666666667,0.18190000000000003
9.999699999999999,0.08340000000000002,0.2057666666666667,0.11536666666666667,0.21356666666666674,0.10306666666666665,0.1572,0.19136666666666668
10.499685277777777,0.09936666666666669,0.21249999999999997,0.12516666666666668,0.22313333333333332,0.10926666666666668,0.16266666666666668,0.20043333333333332
10.9996725,0.11160000000000002,0.2182,0.1345,0.23276666666666668,0.11643333333333335,0.16803333333333337,0.20936666666666665
11.499659722222223,0.1219,0.22496666666666665,0.14376666666666665,0.24359999999999998,0.12229999999999998,0.17343333333333333,0.21926666666666667
11.999648055555555,0.13353333333333328,0.2312333333333333,0.1527,0.25266666666666665,0.1282333333333333,0.17930000000000001,0.22853333333333337
12.499632777777778,0.14049999999999996,0.23800000000000004,0.1618,0.26166666666666666,0.13369999999999999,0.18346666666666667,0.2370666666666667
12.999618888888888,0.14840000000000003,0.24340000000000003,0.17133333333333328,0.27090000000000003,0.1392,0.18800000000000003,0.24553333333333333
13.4996075,0.15830000000000002,0.25033333333333335,0.18056666666666665,0.27993333333333337,0.1442666666666667,0.19333333333333336,0.2545333333333334
13.999592222222223,0.15040000000000003,0.2567,0.19019999999999998,0.2894,0.14933333333333337,0.19773333333333332,0.26320000000000005
14.499578333333334,0.15663333333333335,0.2629666666666667,0.19906666666666667,0.2987666666666667,0.15466666666666667,0.20193333333333335,0.2731
14.999565555555556,0.1585666666666667,0.2688333333333333,0.20853333333333335,0.30766666666666664,0.15953333333333336,0.20606666666666668,0.2814666666666667
15.49955,0.16099999999999998,0.27440000000000003,0.21813333333333335,0.31673333333333337,0.16386666666666672,0.21016666666666667,0.2910666666666667
15.9995375,0.16320000000000004,0.2792666666666667,0.2263,0.32586666666666664,0.16866666666666666,0.21456666666666663,0.2978666666666666
16.499523888888888,0.16500000000000004,0.28539999999999993,0.23493333333333336,0.3343333333333333,0.173,0.2183,0.30683333333333335
16.999510833333332,0.16893333333333332,0.2914,0.24379999999999996,0.34520000000000006,0.17750000000000005,0.22316666666666665,0.31533333333333335
17.499495833333334,0.17116666666666663,0.2965,0.2538666666666667,0.35236666666666666,0.18186666666666668,0.22663333333333333,0.3226333333333334
17.999481666666668,0.1732666666666667,0.30119999999999997,0.2637666666666667,0.3602666666666666,0.1857,0.22933333333333333,0.32843333333333335
18.499469722222223,0.1748,0.30633333333333335,0.27166666666666667,0.37120000000000003,0.1897333333333333,0.23289999999999994,0.33670000000000005
18.99945527777778,0.18043333333333333,0.3112333333333333,0.28,0.3825,0.19326666666666664,0.23543333333333333,0.3449666666666667
19.499449444444444,0.1861,0.32023333333333337,0.28779999999999994,0.3913666666666667,0.19683333333333336,0.23910000000000006,0.35313333333333335
19.99942805555556,0.18926666666666664,0.31866666666666665,0.29573333333333335,0.4053,0.20056666666666667,0.2417,0.3611666666666667
20.49941611111111,0.1928,0.32349999999999995,0.3034333333333334,0.42256666666666665,0.20383333333333334,0.24446666666666667,0.37116666666666664
20.999403055555554,0.19863333333333333,0.32683333333333336,0.31220000000000003,0.43076666666666674,0.20690000000000003,0.24670000000000003,0.37820000000000004
21.49938861111111,0.19996666666666668,0.33433333333333337,0.31933333333333336,0.4384,0.21016666666666667,0.24960000000000004,0.38866666666666677
21.99937472222222,0.20003333333333334,0.33969999999999995,0.3277,0.44723333333333337,0.21306666666666668,0.2516,0.3983333333333333
22.49936083333333,0.2040666666666667,0.3435333333333333,0.3380666666666667,0.4629000000000001,0.21623333333333336,0.25376666666666664,0.4078666666666667
22.99934833333333,0.20886666666666664,0.3476666666666667,0.34400000000000003,0.46793333333333326,0.2193,0.25703333333333334,0.4157666666666667
23.49933638888889,0.213,0.3514666666666667,0.35436666666666666,0.4811000000000001,0.22236666666666668,0.2597666666666667,0.42479999999999996
23.99932111111111,0.21663333333333334,0.35453333333333337,0.3640333333333334,0.4767,0.2250666666666667,0.2615666666666667,0.4330333333333334
24.49930722222222,0.2226,0.3563,0.3721333333333333,0.49250000000000005,0.22756666666666672,0.26413333333333333,0.4479000000000001
24.99929361111111,0.2273,0.35906666666666665,0.38430000000000003,0.49773333333333336,0.2299666666666667,0.2665666666666667,0.4692666666666667
25.499278888888888,0.22896666666666668,0.3618333333333333,0.3931333333333333,0.49960000000000004,0.23239999999999997,0.2681,0.4609000000000001
