TIME[H],DIAZINONANDG_DIAZ18_blanked,DIAZINONANDG_DIAZ22_blanked,DIAZINONANDG_DIAZ23_blanked,DIAZINONANDG_DIAZ26_blanked,DIAZINONANDG_DIAZ28_blanked,DIAZINONANDG_DIAZ8_blanked
0.0,0.00343333333333333,0.001166666666666663,0.013233333333333347,0.00010000000000001674,0.0,0.0018166666666666748
0.49995277777777775,0.002950000000000008,0.0012166666666666714,0.01838333333333332,0.0,0.0,0.0012166666666666576
0.9999386111111112,0.0029,0.0011333333333333334,0.027466666666666653,0.0,0.0,0.0010500000000000093
1.4999266666666666,0.003583333333333341,0.001366666666666655,0.04025000000000001,0.0002500000000000141,0.0,0.0008833333333333332
1.9999147222222222,0.004049999999999984,0.001283333333333317,0.05288333333333331,0.0003500000000000031,0.0,0.0010166666666666657
2.499899722222222,0.0044666666666666605,0.0014666666666666578,0.06703333333333333,0.0003999999999999976,0.0,0.0011999999999999927
2.9998844444444446,0.004933333333333345,0.0013833333333333336,0.0816,0.0004333333333333411,0.0,0.001250000000000015
3.4998722222222223,0.005733333333333326,0.0012166666666666576,0.10313333333333333,0.0008666666666666406,0.0,0.001266666666666652
3.999859166666667,0.0063499999999999945,0.0011166666666666686,0.11038333333333333,0.0006499999999999978,0.00018333333333332702,0.0017499999999999877
4.4998458333333335,0.007199999999999998,0.0010000000000000148,0.11483333333333334,0.0008333333333333387,0.0002666666666666512,0.0020999999999999908
4.9998322222222225,0.008200000000000013,0.0007833333333333165,0.11683333333333333,0.0009333333333333277,0.0004833333333333495,0.0026499999999999996
5.499819166666666,0.009599999999999997,0.0007666666666666655,0.11850000000000002,0.0013666666666666827,0.000733333333333322,0.0035666666666666624
5.999805555555556,0.01121666666666668,0.0007333333333333497,0.12105,0.0015833333333333255,0.0012333333333333363,0.004699999999999996
6.499790555555555,0.013066666666666671,0.0006999999999999923,0.12329999999999999,0.0020000000000000018,0.0012333333333333224,0.0059000000000000025
6.999777222222222,0.014716666666666642,0.000633333333333333,0.12641666666666668,0.002249999999999988,0.001616666666666669,0.008283333333333323
7.499766388888888,0.0175,0.000633333333333333,0.13013333333333332,0.0029,0.0022833333333333455,0.013349999999999987
7.999750833333333,0.020033333333333334,0.0006166666666666681,0.1333,0.0034666666666666596,0.0027333333333333237,0.021199999999999997
8.499738888888889,0.022883333333333325,0.0008500000000000035,0.13891666666666666,0.003916666666666679,0.0035333333333333328,0.03263333333333332
8.999724444444444,0.0262,0.0007833333333333442,0.14426666666666665,0.004466666666666674,0.004116666666666657,0.051116666666666644
9.49971,0.029899999999999996,0.0009666666666666712,0.14493333333333333,0.005100000000000007,0.005299999999999999,0.07873333333333331
9.999696944444445,0.03396666666666667,0.0007833333333333303,0.1425666666666667,0.005766666666666656,0.006399999999999989,0.09460000000000002
10.499684722222222,0.03866666666666667,0.0007000000000000062,0.14153333333333334,0.006600000000000009,0.008099999999999982,0.11223333333333332
10.999669722222222,0.04299999999999998,0.0007833333333333442,0.1414,0.007499999999999993,0.010366666666666677,0.13476666666666667
11.499655833333334,0.04830000000000001,0.0008666666666666684,0.14133333333333334,0.008166666666666655,0.013450000000000004,0.15144999999999997
11.999643055555554,0.05209999999999998,0.000716666666666671,0.14176666666666662,0.009199999999999986,0.017483333333333337,0.15821666666666662
12.499631666666666,0.056683333333333336,0.0008333333333333387,0.14215,0.010249999999999995,0.023516666666666672,0.1637833333333334
12.999614444444445,0.061416666666666675,0.00081666666666666,0.14208333333333334,0.011383333333333343,0.031766666666666665,0.16756666666666664
13.499602777777778,0.06559999999999999,0.0010000000000000009,0.14336666666666667,0.012733333333333319,0.04271666666666665,0.16808333333333336
13.99959,0.07046666666666668,0.0008333333333333248,0.1435,0.013966666666666641,0.05760000000000001,0.1696333333333333
14.499574166666665,0.07373333333333332,0.0009666666666666573,0.14453333333333332,0.015399999999999983,0.07280000000000003,0.16903333333333337
14.999561111111111,0.07546666666666667,0.0009333333333333416,0.14553333333333335,0.016966666666666658,0.0864,0.1679333333333333
15.49955,0.07713333333333332,0.0009333333333333416,0.1465333333333333,0.018566666666666676,0.09288333333333333,0.16788333333333333
15.999534166666665,0.0792333333333333,0.0010166666666666657,0.1475,0.020466666666666675,0.09104999999999999,0.16714999999999997
16.49952222222222,0.08165,0.0009166666666666629,0.14875000000000002,0.022116666666666673,0.09153333333333333,0.1669666666666667
16.9995075,0.08191666666666667,0.0009166666666666629,0.14964999999999998,0.024316666666666667,0.09301666666666668,0.16638333333333333
17.499493055555558,0.08293333333333332,0.0010499999999999954,0.1511,0.027066666666666656,0.09723333333333331,0.16460000000000005
17.999480833333333,0.08538333333333334,0.0010000000000000009,0.15208333333333335,0.029649999999999996,0.10001666666666667,0.16361666666666663
