LAMBDACYHALOTHRINANDLB_LCY01,LAMBDACYHALOTHRINANDLB_LCY2,TIME[H]
0.016633333333333306,0.05406666666666665,0.0
0.018266666666666626,0.054999999999999966,0.2499638888888889
0.02100000000000002,0.0582,0.4999538888888889
0.02243333333333339,0.053833333333333344,0.7499463888888889
0.02213333333333331,0.06386666666666665,0.99994
0.02496666666666668,0.0639,1.2499347222222223
0.029033333333333355,0.06916666666666668,1.4999294444444444
0.030633333333333332,0.07336666666666668,1.7499219444444445
0.0368,0.0774,1.9999130555555555
0.0408,0.08523333333333333,2.2499066666666665
0.043833333333333294,0.09263333333333333,2.499899444444445
0.05020000000000001,0.10103333333333332,2.749893888888889
0.05763333333333334,0.11516666666666664,2.9998858333333334
0.0717666666666667,0.1289,3.2498802777777778
0.08506666666666667,0.13589999999999997,3.499871111111111
0.10173333333333333,0.15209999999999996,3.7498694444444447
0.1221333333333333,0.16533333333333333,3.999859166666667
0.1459666666666667,0.17696666666666666,4.249853333333333
0.17076666666666665,0.1907666666666666,4.499845555555555
0.2010333333333334,0.20506666666666662,4.7498377777777785
0.2449,0.21793333333333342,4.999831944444445
0.2868,0.23293333333333333,5.249824722222222
0.31933333333333325,0.24776666666666658,5.4998161111111115
0.3664666666666667,0.2628666666666667,5.749813333333334
0.4078666666666666,0.2805,5.999804166666666
0.4539,0.29750000000000004,6.249797500000001
0.49133333333333323,0.31483333333333335,6.499790833333333
0.5385666666666667,0.33746666666666664,6.749783055555556
0.5890333333333333,0.3629000000000001,6.999776944444444
0.6354,0.38599999999999995,7.249769444444444
0.6823333333333335,0.41096666666666665,7.499766111111111
0.7310000000000001,0.4328666666666667,7.749759166666667
0.7839333333333334,0.4545,7.999749722222222
0.8359333333333333,0.47536666666666655,8.249744999999999
0.8742666666666667,0.4982000000000002,8.499736666666667
0.9293666666666669,0.5227999999999999,8.749729722222222
0.9744999999999998,0.5473333333333333,8.9997225
1.0151999999999997,0.5676,9.249715833333333
1.0610666666666666,0.5856,9.499711111111111
1.0956333333333337,0.6070333333333333,9.749705
1.1368666666666667,0.6276,9.999698055555555
1.1637333333333333,0.6450333333333333,10.249690277777779
1.2003333333333333,0.6648666666666666,10.499682222222223
1.2335333333333336,0.6789,10.749674444444445
