LAMBDACYHALOTHRIN_LCY01,LAMBDACYHALOTHRIN_LCY2,TIME[H]
0.0,0.01203333333333334,0.0
0.0,0.013399999999999995,0.2499638888888889
0.0,0.014966666666666656,0.4999538888888889
0.0,0.017600000000000005,0.7499463888888889
0.0,0.021266666666666656,0.99994
0.0,0.021299999999999986,1.2499347222222223
0.0,0.02313333333333331,1.4999294444444444
0.0,0.024933333333333335,1.7499219444444445
0.0,0.022733333333333328,1.9999130555555555
0.0,0.02539999999999995,2.2499066666666665
0.0,0.02016666666666675,2.499899444444445
0.0,0.01649999999999996,2.749893888888889
0.0,0.019166666666666637,2.9998858333333334
0.0,0.018333333333333368,3.2498802777777778
0.0,0.018600000000000033,3.499871111111111
0.0,0.016199999999999964,3.7498694444444447
0.0,0.015966666666666685,3.999859166666667
0.0,0.013999999999999957,4.249853333333333
0.0,0.01266666666666666,4.499845555555555
0.0,0.009233333333333343,4.7498377777777785
0.0,0.005399999999999988,4.999831944444445
0.0,0.0062333333333333685,5.249824722222222
0.0,0.0039000000000000146,5.4998161111111115
0.0,0.0033666666666666845,5.749813333333334
0.0,0.0,5.999804166666666
0.0,0.0,6.249797500000001
0.0,0.0,6.499790833333333
0.0,0.0,6.749783055555556
0.0,0.0,6.999776944444444
0.0,0.0,7.249769444444444
0.0,0.0,7.499766111111111
0.0,0.0,7.749759166666667
0.0,0.0,7.999749722222222
0.0,0.0,8.249744999999999
0.0,0.0,8.499736666666667
0.0,0.0,8.749729722222222
0.0,0.0,8.9997225
0.0,0.0,9.249715833333333
0.0,0.0,9.499711111111111
0.0,0.0,9.749705
0.0,0.0,9.999698055555555
0.0,0.0,10.249690277777779
0.0,0.0,10.499682222222223
0.0,0.0,10.749674444444445
0.0,0.0,10.9996675
0.0,0.0,11.249660277777778
0.0,0.0,11.499656666666667
0.0,0.0,11.74964777777778
0.0,0.0,11.999643333333333
0.0,0.0,12.249634722222222
0.0,0.0,12.499628611111111
0.0,0.0,12.749620555555556
0.0,0.0,12.999613055555557
0.0,0.0,13.249607222222224
0.0,0.0,13.49959777777778
0.0,0.0,13.749595833333332
0.0,0.0,13.999588888888889
0.0,0.0,14.249579444444443
0.0,0.0,14.499572222222222
0.0,0.0,14.749565555555556
0.0,0.0,14.999558888888888
0.0,0.0,15.2495525
0.0,0.0,15.499547222222223
0.0,0.0,15.74954111111111
0.0,0.0,15.999531944444445
0.0,0.0,16.249525277777778
0.0,0.0,16.499516944444444
0.0,0.0,16.749513888888888
0.0,0.0,16.9995075
0.0,0.0,17.24949777777778
0.0,0.0,17.499489444444443
0.0,0.0,17.74948277777778
0.0,0.0,17.999475555555556
