Name,Date,Cell,Media,Strain
Nate,20220808,A1,P,Blank Mal
Nate,20220808,B1,G,Blank Diaz
Nate,20220808,C1,P,Blank Diaz
Nate,20220808,D1,G,Diaz 28
Nate,20220808,E1,G,Blank Mal
Nate,20220808,F1,P,Blank Imid
Nate,20220808,G1,P,Diaz 8
Nate,20220808,H1,G,Imid 1Y
Nate,20220808,A2,P,Mal 1
Nate,20220808,B2,P,Mal 1
Nate,20220808,C2,P,Mal 1
Nate,20220808,D2,G,Diaz 8
Nate,20220808,E2,P,Diaz 8
Nate,20220808,F2,P,Diaz 8
Nate,20220808,G2,P,Diaz 18
Nate,20220808,H2,G,Imid 3
Nate,20220808,A3,P,Mal 2
Nate,20220808,B3,P,Mal 2
Nate,20220808,C3,P,Mal 2
Nate,20220808,D3,G,Diaz 22
Nate,20220808,E3,P,Diaz 18
Nate,20220808,F3,P,Diaz 18
Nate,20220808,G3,P,Diaz 21
Nate,20220808,H3,G,Imid 5
Nate,20220808,A4,P,Mal 3
Nate,20220808,B4,P,Mal 3
Nate,20220808,C4,P,Mal 3
Nate,20220808,E4,P,Diaz 21
Nate,20220808,F4,P,Diaz 21
Nate,20220808,G4,P,Diaz 22
Nate,20220808,H4,G,Imid 6
Nate,20220808,A5,P,Mal 4
Nate,20220808,B5,P,Mal 4
Nate,20220808,C5,P,Mal 4
Nate,20220808,D5,G,Diaz 8
Nate,20220808,E5,P,Diaz 22
Nate,20220808,F5,P,Diaz 22
Nate,20220808,G5,P,Diaz 23
Nate,20220808,H5,G,Imid 8
Nate,20220808,A6,P,Mal 6
Nate,20220808,B6,P,Mal 6
Nate,20220808,C6,P,Mal 6
Nate,20220808,D6,G,Diaz 22
Nate,20220808,E6,P,Diaz 23
Nate,20220808,F6,P,Diaz 23
Nate,20220808,G6,P,Diaz 23
Nate,20220808,H6,G,Imid 9Y
Nate,20220808,A7,P,Mal 7
Nate,20220808,B7,P,Mal 7
Nate,20220808,C7,P,Mal 7
Nate,20220808,D7,G,Diaz 28
Nate,20220808,E7,P,Diaz 23
Nate,20220808,F7,P,Diaz 23
Nate,20220808,G7,P,Diaz 26
Nate,20220808,H7,G,Imid 1Y
Nate,20220808,A8,P,Mal 8
Nate,20220808,B8,P,Mal 8
Nate,20220808,C8,P,Mal 8
Nate,20220808,D8,G,Diaz 8
Nate,20220808,E8,P,Diaz 26
Nate,20220808,F8,P,Diaz 26
Nate,20220808,G8,P,Diaz 28
Nate,20220808,H8,G,Imid 3
Nate,20220808,A9,P,Mal 10
Nate,20220808,B9,P,Mal 10
Nate,20220808,C9,P,Mal 10
Nate,20220808,D9,G,Diaz 22
Nate,20220808,E9,P,Diaz 28 
Nate,20220808,F9,P,Diaz 28 
Nate,20220808,G9,G,Imid 5
Nate,20220808,H9,G,Imid 5
Nate,20220808,A10,G,Mal 3
Nate,20220808,B10,G,Mal 7
Nate,20220808,C10,P,Imid 2
Nate,20220808,D10,G,Diaz 28
Nate,20220808,E10,P,Imid 9Y
Nate,20220808,F10,P,Imid 9Y
Nate,20220808,G10,G,Imid 6
Nate,20220808,H10,G,Imid 6
Nate,20220808,A11,G,Mal 3
Nate,20220808,B11,G,Mal 7
Nate,20220808,C11,P,Imid 6
Nate,20220808,D11,P,Imid 2
Nate,20220808,E11,P,Imid 2
