strain,group,method,trunc_idx,trunc_time,n_points,fit_success,r_squared,rmse,gompertz_A,gompertz_mu,gompertz_lambda,a_err_pct,mu_err_pct
MALATHIONANDLB-MAL10,Group2,adaptive_r2,54.0,13.499602222222222,55.0,True,0.9988308386686654,0.019603366626792573,1.5136696960042575,0.259304402219323,3.372474013376641,0.5800872246535198,1.4575307355296991
MALATHIONANDLB-MAL10,Group2,gp_derivative,51.0,12.749620833333331,52.0,True,0.9987590950231433,0.01986332299091241,1.5201936354175123,0.25806086261164946,3.3645177691928074,0.7009077217279326,1.5213892163652738
MALATHIONANDLB-MAL10,Group2,changepoint,,,,False,,,,,,,
MALATHIONANDLB-MAL10,Group2,consensus,60.0,14.999558333333336,61.0,True,0.9985031255635024,0.022457625635534977,1.4885208562816425,0.26521710165336726,3.411241766455846,0.493217943893917,1.6148892551598342
MALATHIONANDLB-MAL1,Group2,first_peak,399.0,99.74725277777776,400.0,True,-1.3318700839177637,0.4167042281674465,4.393699999999999,0.016993240276068907,5.809224005025143e-13,61.76982002807981,21.102246834839704
MALATHIONANDLB-MAL1,Group2,stationary_phase,60.0,14.999558333333336,61.0,True,0.9985031255635024,0.022457625635534977,1.4885208562816425,0.26521710165336726,3.411241766455846,0.493217943893917,1.6148892551598342
MALATHIONANDLB-MAL1,Group2,adaptive_r2,54.0,13.499602222222222,55.0,True,0.9988308386686654,0.019603366626792573,1.5136696960042575,0.259304402219323,3.372474013376641,0.5800872246535198,1.4575307355296991
MALATHIONANDLB-MAL1,Group2,gp_derivative,51.0,12.749620833333331,52.0,True,0.9987590950231433,0.01986332299091241,1.5201936354175123,0.25806086261164946,3.3645177691928074,0.7009077217279326,1.5213892163652738
MALATHIONANDLB-MAL1,Group2,changepoint,,,,False,,,,,,,
MALATHIONANDLB-MAL1,Group2,consensus,60.0,14.999558333333336,61.0,True,0.9985031255635024,0.022457625635534977,1.4885208562816425,0.26521710165336726,3.411241766455846,0.493217943893917,1.6148892551598342
MALATHIONANDLB-MAL5,Group2,first_peak,47.0,11.74964861111111,48.0,True,0.9995728666706648,0.012190289137952576,1.5821565917452043,0.2970120306165628,2.7246651009071834,0.3802653666082181,0.9203042302498885
MALATHIONANDLB-MAL5,Group2,stationary_phase,54.0,13.499602222222222,55.0,True,0.9987535645254236,0.021048653097505483,1.5433324687390535,0.30692081157497014,2.777098141140679,0.44623707916163363,1.5293808009572574
MALATHIONANDLB-MAL5,Group2,adaptive_r2,44.0,10.999669166666669,45.0,True,0.9996231291418647,0.011242189326325269,1.5938359958157342,0.29476531353010366,2.713137198583894,0.4319927464004279,0.8759427932492271
MALATHIONANDLB-MAL5,Group2,gp_derivative,45.0,11.24966472222222,46.0,True,0.9996248809407543,0.011299170081640763,1.5909867463444853,0.2952711237708289,2.7156829832986116,0.4041133103866399,0.8699131135227695
MALATHIONANDLB-MAL5,Group2,changepoint,,,,False,,,,,,,
MALATHIONANDLB-MAL5,Group2,consensus,47.0,11.74964861111111,48.0,True,0.9995728666706648,0.012190289137952576,1.5821565917452043,0.2970120306165628,2.7246651009071834,0.3802653666082181,0.9203042302498885
MALATHIONANDLB-MAL4,Group2,first_peak,52.0,12.99961361111111,53.0,True,0.9986548735089994,0.019362934065797668,1.5181241051753793,0.21676929729490238,3.0158965413121757,0.8162856407143725,1.4325652249980656
MALATHIONANDLB-MAL4,Group2,stationary_phase,61.0,15.24955138888889,62.0,True,0.9974822948585824,0.027225818261888073,1.4526691020241131,0.22698419795320593,3.106341093025236,0.6703758469406803,1.9375664003682058
MALATHIONANDLB-MAL4,Group2,adaptive_r2,31.0,7.749759722222222,32.0,True,0.9994102243810262,0.007707507562470417,2.3676675535047687,0.22662289425341337,3.290655783400015,4.993968619059927,1.8091500246970176
MALATHIONANDLB-MAL4,Group2,gp_derivative,52.0,12.99961361111111,53.0,True,0.9986548735089994,0.019362934065797668,1.5181241051753793,0.21676929729490238,3.0158965413121757,0.8162856407143725,1.4325652249980656
MALATHIONANDLB-MAL4,Group2,changepoint,,,,False,,,,,,,
MALATHIONANDLB-MAL4,Group2,consensus,52.0,12.99961361111111,53.0,True,0.9986548735089994,0.019362934065797668,1.5181241051753793,0.21676929729490238,3.0158965413121757,0.8162856407143725,1.4325652249980656
LB-MAL8,Group2,first_peak,44.0,10.999669166666669,45.0,True,0.9987327233081454,0.02124650223047916,1.6665459145853234,0.32315809224285497,1.8102883014433768,0.5771325385160727,1.5185154311659037
LB-MAL8,Group2,stationary_phase,51.0,12.749620833333331,52.0,True,0.9981487760039115,0.025677098110769438,1.6351101799181855,0.3323798640368772,1.856629975182839,0.48904477725653817,1.7619992153826318
LB-MAL8,Group2,adaptive_r2,44.0,10.999669166666669,45.0,True,0.9987327233081454,0.02124650223047916,1.6665459145853234,0.32315809224285497,1.8102883014433768,0.5771325385160727,1.5185154311659037
LB-MAL8,Group2,gp_derivative,43.0,10.749675833333333,44.0,True,0.99872575855669,0.021241408477757656,1.669838803837654,0.32236714254044935,1.8063620072380204,0.6133997374938231,1.5330081153152166
LB-MAL8,Group2,changepoint,,,,False,,,,,,,
LB-MAL8,Group2,consensus,44.0,10.999669166666669,45.0,True,0.9987327233081454,0.02124650223047916,1.6665459145853234,0.32315809224285497,1.8102883014433768,0.5771325385160727,1.5185154311659037
LB-MAL10,Group2,first_peak,399.0,99.74725277777776,400.0,True,-1.3318700839177637,0.4167042281674465,4.393699999999999,0.016993240276068907,5.809224005025143e-13,61.76982002807981,21.102246834839704
LB-MAL10,Group2,stationary_phase,60.0,14.999558333333336,61.0,True,0.9985031255635024,0.022457625635534977,1.4885208562816425,0.26521710165336726,3.411241766455846,0.493217943893917,1.6148892551598342
LB-MAL10,Group2,adaptive_r2,54.0,13.499602222222222,55.0,True,0.9988308386686654,0.019603366626792573,1.5136696960042575,0.259304402219323,3.372474013376641,0.5800872246535198,1.4575307355296991
LB-MAL10,Group2,gp_derivative,51.0,12.749620833333331,52.0,True,0.9987590950231433,0.01986332299091241,1.5201936354175123,0.25806086261164946,3.3645177691928074,0.7009077217279326,1.5213892163652738
LB-MAL10,Group2,changepoint,,,,False,,,,,,,
LB-MAL10,Group2,consensus,60.0,14.999558333333336,61.0,True,0.9985031255635024,0.022457625635534977,1.4885208562816425,0.26521710165336726,3.411241766455846,0.493217943893917,1.6148892551598342
LB-MAL1,Group2,first_peak,399.0,99.74725277777776,400.0,True,-1.3318700839177637,0.4167042281674465,4.393699999999999,0.016993240276068907,5.809224005025143e-13,61.76982002807981,21.102246834839704
LB-MAL1,Group2,stationary_phase,60.0,14.999558333333336,61.0,True,0.9985031255635024,0.022457625635534977,1.4885208562816425,0.26521710165336726,3.411241766455846,0.493217943893917,1.6148892551598342
LB-MAL1,Group2,adaptive_r2,54.0,13.499602222222222,55.0,True,0.9988308386686654,0.019603366626792573,1.5136696960042575,0.259304402219323,3.372474013376641,0.5800872246535198,1.4575307355296991
LB-MAL1,Group2,gp_derivative,51.0,12.749620833333331,52.0,True,0.9987590950231433,0.01986332299091241,1.5201936354175123,0.25806086261164946,3.3645177691928074,0.7009077217279326,1.5213892163652738
LB-MAL1,Group2,changepoint,,,,False,,,,,,,
LB-MAL1,Group2,consensus,60.0,14.999558333333336,61.0,True,0.9985031255635024,0.022457625635534977,1.4885208562816425,0.26521710165336726,3.411241766455846,0.493217943893917,1.6148892551598342
LB-MAL5,Group2,first_peak,47.0,11.74964861111111,48.0,True,0.9995728666706648,0.012190289137952576,1.5821565917452043,0.2970120306165628,2.7246651009071834,0.3802653666082181,0.9203042302498885
LB-MAL5,Group2,stationary_phase,54.0,13.499602222222222,55.0,True,0.9987535645254236,0.021048653097505483,1.5433324687390535,0.30692081157497014,2.777098141140679,0.44623707916163363,1.5293808009572574
LB-MAL5,Group2,adaptive_r2,44.0,10.999669166666669,45.0,True,0.9996231291418647,0.011242189326325269,1.5938359958157342,0.29476531353010366,2.713137198583894,0.4319927464004279,0.8759427932492271
LB-MAL5,Group2,gp_derivative,45.0,11.24966472222222,46.0,True,0.9996248809407543,0.011299170081640763,1.5909867463444853,0.2952711237708289,2.7156829832986116,0.4041133103866399,0.8699131135227695
LB-MAL5,Group2,changepoint,,,,False,,,,,,,
LB-MAL5,Group2,consensus,47.0,11.74964861111111,48.0,True,0.9995728666706648,0.012190289137952576,1.5821565917452043,0.2970120306165628,2.7246651009071834,0.3802653666082181,0.9203042302498885
LB-MAL4,Group2,first_peak,52.0,12.99961361111111,53.0,True,0.9986548735089994,0.019362934065797668,1.5181241051753793,0.21676929729490238,3.0158965413121757,0.8162856407143725,1.4325652249980656
LB-MAL4,Group2,stationary_phase,61.0,15.24955138888889,62.0,True,0.9974822948585824,0.027225818261888073,1.4526691020241131,0.22698419795320593,3.106341093025236,0.6703758469406803,1.9375664003682058
LB-MAL4,Group2,adaptive_r2,31.0,7.749759722222222,32.0,True,0.9994102243810262,0.007707507562470417,2.3676675535047687,0.22662289425341337,3.290655783400015,4.993968619059927,1.8091500246970176
