strain,group,rescue_method,rescue_r2,rescue_rmse,a_err_pct,mu_err_pct,original_reason,delta_od
LAMBDACYHALOTHRIN-LCY3,Group4,stationary_phase,0.9555894787714947,0.003501559341499653,1.7292446725343322,2.9146168508550936,BAD: Delta OD not significant: CI lower=0.060 < 0.1; Insufficient growth: delta_od=0.060 < 0.15; Non-monotonic signal: 0.49 < 0.55,0.0595666666666666
LAMBDACYHALOTHRIN-LCY3,Group4,adaptive_r2,0.9582908953450541,0.0030726402614856194,1.7115276367873369,3.0111378330877483,BAD: Delta OD not significant: CI lower=0.060 < 0.1; Insufficient growth: delta_od=0.060 < 0.15; Non-monotonic signal: 0.49 < 0.55,0.0595666666666666
LAMBDACYHALOTHRIN-LCY3,Group4,consensus,0.9537016339264459,0.0037405719155570614,1.7875048893328378,2.882936428249279,BAD: Delta OD not significant: CI lower=0.060 < 0.1; Insufficient growth: delta_od=0.060 < 0.15; Non-monotonic signal: 0.49 < 0.55,0.0595666666666666
LB-CISPERM1,Group4,first_peak,0.9775413122857495,0.014368141685915329,10.158994126831372,3.757362549663111,BAD: Low R²: 0.032 < 0.95; High mu error: 40.5% > 20.0%; Delta OD not significant: CI lower=0.018 < 0.1; Insufficient growth: delta_od=0.020 < 0.15; Non-monotonic signal: 0.50 < 0.55; High residual autocorrelation: 0.98 > 0.7,0.01991
LB-CISPERM1,Group4,stationary_phase,0.9775413122857495,0.014368141685915329,10.158994126831372,3.757362549663111,BAD: Low R²: 0.032 < 0.95; High mu error: 40.5% > 20.0%; Delta OD not significant: CI lower=0.018 < 0.1; Insufficient growth: delta_od=0.020 < 0.15; Non-monotonic signal: 0.50 < 0.55; High residual autocorrelation: 0.98 > 0.7,0.01991
LB-CISPERM1,Group4,adaptive_r2,0.9770769605308113,0.014380759179566178,10.590206719333434,4.020168474569416,BAD: Low R²: 0.032 < 0.95; High mu error: 40.5% > 20.0%; Delta OD not significant: CI lower=0.018 < 0.1; Insufficient growth: delta_od=0.020 < 0.15; Non-monotonic signal: 0.50 < 0.55; High residual autocorrelation: 0.98 > 0.7,0.01991
LB-CISPERM1,Group4,consensus,0.9775413122857495,0.014368141685915329,10.158994126831372,3.757362549663111,BAD: Low R²: 0.032 < 0.95; High mu error: 40.5% > 20.0%; Delta OD not significant: CI lower=0.018 < 0.1; Insufficient growth: delta_od=0.020 < 0.15; Non-monotonic signal: 0.50 < 0.55; High residual autocorrelation: 0.98 > 0.7,0.01991
LB-CYPERM2,Group4,first_peak,0.9960411462421752,0.006496854363171059,4.217967633428643,1.2072092003962922,BAD: Insufficient growth: delta_od=0.109 < 0.15,0.1092333333333333
LB-CYPERM2,Group4,stationary_phase,0.9988753926127242,0.008164728117462454,0.58452057987759,0.5291282122976778,BAD: Insufficient growth: delta_od=0.109 < 0.15,0.1092333333333333
LB-CYPERM2,Group4,adaptive_r2,0.9972486353334873,0.01355844332402471,0.6139986304010059,0.9227810224119201,BAD: Insufficient growth: delta_od=0.109 < 0.15,0.1092333333333333
LB-CYPERM2,Group4,consensus,0.9988753926127242,0.008164728117462454,0.58452057987759,0.5291282122976778,BAD: Insufficient growth: delta_od=0.109 < 0.15,0.1092333333333333
LB-IMID5,Group3,first_peak,0.9980562872922913,0.018412050592048392,0.6558574864728083,0.9437014093862501,BAD: High residual autocorrelation: 0.98 > 0.7,1.67559
