UPK63685.1	223_pilon_pilon	35.241	332	183	10	8	326	3461	2523	2.86e-49	180
UPK63173.1	223_pilon_pilon	38.141	312	156	8	25	323	3407	2544	9.17e-52	187
QXF81282.1	223_pilon_pilon	38.141	312	156	8	25	323	3407	2544	1.26e-51	187
QXF80816.1	223_pilon_pilon	35.241	332	183	10	8	326	3461	2523	1.73e-49	181
QXF13303.1	223_pilon_pilon	42.071	309	158	7	34	333	3446	2556	1.51e-74	242
QXF13303.1	223_pilon_pilon	26.415	159	103	6	373	524	2448	1993	1.51e-74	54.7
QXF13297.1	223_pilon_pilon	50.235	213	96	2	34	244	3455	2841	3.72e-64	224
QXF12825.1	223_pilon_pilon	39.823	339	186	6	1	333	3536	2556	2.82e-55	197
QDC40419.1	223_pilon_pilon	30.031	323	208	6	13	328	3458	2523	1.68e-37	144
QDC40051.1	223_pilon_pilon	31.680	363	189	12	55	398	3458	2490	3.56e-35	139
AVA15237.1	223_pilon_pilon	38.841	345	191	7	35	372	3437	2442	2.06e-60	202
AVA15237.1	223_pilon_pilon	25.000	160	106	6	371	523	2448	1990	2.06e-60	46.6
sp|Q6XBH1.1|GPDQ_KLEAE	7_pilon_pilon	19.704	203	154	3	3	204	37213	37797	5.92e-10	57.0
WEF25765.1	87_pilon_pilon	29.464	336	194	11	1	314	3503	2559	1.27e-22	96.3
WEF25732.1	26_pilon_pilon	36.458	192	116	3	10	197	24345	24914	3.36e-28	109
WEF25732.1	73_pilon_pilon	33.854	192	113	4	10	196	385	933	2.14e-24	98.6
WEF25732.1	190_pilon_pilon	30.688	189	124	3	10	196	198	749	2.24e-14	69.3
WEF25676.1	53_pilon_pilon	45.342	161	85	2	1	158	2563	2081	3.05e-29	112
WEF25640.1	53_pilon_pilon	37.450	251	154	1	28	275	23703	24455	2.38e-43	164
WEF25638.1	230_pilon_pilon	32.749	742	442	16	39	730	5271	3067	1.17e-89	305
WEF25638.1	278_pilon_pilon	36.449	535	309	9	212	729	3984	2422	1.63e-87	298
WEF25638.1	264_pilon_pilon	26.897	145	95	4	17	153	426	1	1.62e-10	62.0
WEF23879.1	96_pilon_pilon	34.211	152	85	6	45	186	13029	12589	2.74e-12	62.8
WEF23470.1	145_pilon_pilon	35.317	252	160	2	6	254	3004	2249	5.29e-34	127
XXQ42250.1	145_pilon_pilon	24.382	283	168	9	15	276	3022	2249	9.93e-13	65.9
XXQ42250.1	124_pilon_pilon	25.869	259	162	11	23	259	1836	1084	1.84e-12	65.1
XXQ42250.1	290_pilon_pilon	26.829	287	171	9	11	278	1523	2323	2.47e-12	64.3
XXQ42250.1	27_pilon_pilon	31.200	125	80	3	10	131	28121	28486	2.04e-07	49.7
ODP27570.1	223_pilon_pilon	38.272	324	169	13	52	367	3446	2544	3.67e-53	193
ODP27570.1	59_pilon_pilon	26.068	234	147	7	122	352	14191	13559	8.85e-06	46.2
UQX47894.1	139_pilon_pilon	33.209	268	161	7	5	255	5950	5150	8.40e-29	112
UQX47445.1	139_pilon_pilon	32.530	166	100	4	300	455	5755	5264	3.02e-15	76.3
QIR83838.1	139_pilon_pilon	28.571	273	158	8	20	277	5893	5141	1.21e-19	86.3
PQM29039.1	139_pilon_pilon	27.044	159	105	4	374	529	5764	5312	7.96e-11	62.8
PQM27397.1	139_pilon_pilon	45.500	200	106	3	44	241	5839	5243	2.41e-51	178
TFF53969.1	139_pilon_pilon	33.566	143	86	2	74	207	5764	5336	2.84e-19	85.5
TFF53494.1	139_pilon_pilon	31.356	236	131	10	47	265	5851	5186	2.20e-15	73.9
TFF50418.1	139_pilon_pilon	29.075	227	144	6	43	252	5848	5168	2.30e-12	64.3
RRJ18786.1	139_pilon_pilon	30.726	179	106	6	83	246	5695	5168	3.66e-13	66.6
AZR40669.1	155_pilon_pilon	35.948	153	78	5	6	158	6113	5715	2.67e-15	76.6
AZR40669.1	43_pilon_pilon	31.875	160	94	4	2	152	24147	23686	2.22e-13	70.5
