strain,is_good,classification_reason,delta_od,max_od,initial_od,snr,time_to_max,r_squared,a_err_pct,mu_err_pct,best_model,truncation_time,points_used,gompertz_a,gompertz_a_err,gompertz_mu,gompertz_mu_err,gompertz_lambda,gompertz_lambda_err,fit_r_squared,fit_rmse,fit_mae,baseline_std,monotone_fraction,residual_autocorr,delta_od_ci_lower,p_good,ml_classification,group
LB-MAL8,True,GOOD: Fit quality passed,1.60557,1.6983,,28.146865887895572,,0.9927379951341312,1.000002348527814,4.321256333850292,gompertz,10.499685833333332,43,1.4772494705474792,0.0147725293990894,0.444305697971416,0.0191995881152475,1.9732759630513927,0.0738146380404937,0.9927379951341312,0.0484166532366652,0.0361223915565496,0.0570425853590494,0.7698744769874477,0.8005068033301933,1.4914848292819012,,,Group2
LB-MAL10,True,GOOD: Fit quality passed,1.71124,1.7628666666666666,,75.14422611128235,,0.9903347334889144,1.2239767833774828,4.541362054006123,gompertz,11.999639722222222,49,1.37047372008076,0.0167742801560782,0.3197170221798577,0.0145195075254743,2.303207892776932,0.097975018174228,0.9903347334889144,0.0520417256010242,0.0402559361750237,0.0227727410149356,0.99581589958159,0.8029604821149299,1.6656945179701286,,,Group2
LB-MAL1,True,GOOD: Fit quality passed,1.6948266666666665,1.7079666666666664,,87.29558377140924,,0.9972782381247556,0.8410111995428484,2.8019879946441257,gompertz,10.749675833333333,44,1.5281255312959825,0.0128517068612728,0.4178602065231442,0.0117083928211736,3.1464388316005043,0.0507589773075403,0.9972782381247556,0.0321033065110248,0.0249800777119264,0.0194148042025208,0.803347280334728,0.9020604122336524,1.6559970582616248,,,Group2
LB-MAL5,True,GOOD: Fit quality passed,1.7555900000000002,1.8013666666666668,,44.294926736661125,,0.9989969034512513,0.5505732993745133,1.5460075187686957,gompertz,10.249689722222223,42,1.533567289851172,0.0084434120258619,0.3574870986655055,0.0055267774239967,2.3032385186729343,0.0319813018223318,0.9989969034512513,0.0184112535334231,0.0154367925039917,0.0396341100288347,0.99163179916318,0.8979553032918222,1.676321779942331,,,Group2
LB-MAL4,True,GOOD: Fit quality passed,1.4919666666666664,1.512133333333333,,85.82108621794468,,0.99926673795287,0.4202635608952282,0.976158904027965,gompertz,14.999558333333336,61,1.4603781167620775,0.0061374370760389,0.1937360875436736,0.0018911720688729,2.4824310024445624,0.0343915948158116,0.99926673795287,0.0141488917140747,0.0114187843003346,0.0173846164435367,0.702928870292887,0.9165841700964432,1.457197433779593,,,Group2
LB-LCY1,True,GOOD: Fit quality passed,1.7679166666666668,1.7877666666666667,,118.49813429135702,,0.9992342538662212,0.4953750005972797,1.086652740819718,gompertz,14.249578333333334,58,1.5168376107394297,0.0075140343232602,0.2223344933500025,0.0024160038657754,3.296230962840109,0.0343205013302384,0.9992342538662212,0.0153228039469641,0.0129529384493065,0.0149193628848181,0.899581589958159,0.937553499630187,1.7380779408970306,,,Group2
H2O-MAL8,False,BAD: Insufficient growth: delta_od=0.121 < 0.15,0.121,0.121,,12100000.0,,0.9862826097405246,0.4353828399376308,1.971018685678176,gompertz,56.49842916666667,227,0.1149646078221109,0.000500536174459,0.0056858619428814,0.000112069401336,2.2897417443251715,0.2060285150063571,0.9862826097405246,0.0043379077008022,0.0034951430925156,1e-08,0.7656903765690377,0.9146660741717992,0.12099998,,,Group2
H2O-MAL10,False,BAD: Low R²: 0.397 < 0.95; Delta OD not significant: CI lower=0.011 < 0.1; Insufficient growth: delta_od=0.011 < 0.15; Non-monotonic signal: 0.29 < 0.55; High residual autocorrelation: 0.86 > 0.7,0.0109666666666666,0.0109666666666666,,1096666.66666666,,0.3969228230988441,2.6219736852043503,16.463635353300408,gompertz,99.49725944444444,399,0.01,0.0002621973685204,0.001,0.000164636353533,61.128161710231346,0.8780664129357058,0.3969228230988441,0.0023814171622712,0.001626748903229,1e-08,0.2928870292887029,0.8581992844676751,0.0109666466666666,,,Group2
H2O-MAL1,False,BAD: Delta OD not significant: CI lower=0.033 < 0.1; Insufficient growth: delta_od=0.033 < 0.15; Non-monotonic signal: 0.38 < 0.55; High residual autocorrelation: 0.72 > 0.7,0.0329666666666666,0.0329666666666666,,3296666.66666666,,0.9711413745543124,0.7788607859605968,3.30960161593711,gompertz,98.99727333333334,397,0.0257407043970364,0.0002004842525785,0.001,3.3096016159371106e-05,33.131459432571134,0.4367437645764198,0.9711413745543124,0.0018503775040165,0.0012144122284366,1e-08,0.3849372384937238,0.7200245232426267,0.0329666466666666,,,Group2
H2O-MAL5,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0005999999999999,0.0005999999999999,,,,0.0,inf,inf,gompertz,98.74727916666669,396,,,,,,,,,,,,,,,,Group2
H2O-MAL4,False,BAD: Pre-fit SNR too low (0.0 < 3.0),0.0,0.0,,0.0,,,,,gompertz,99.74725277777776,400,,,,,,,,,,,,,,,,Group2
H2O-LCY1,False,BAD: Pre-fit SNR too low (0.0 < 3.0),0.0,0.0,,0.0,,,,,gompertz,99.74725277777776,400,,,,,,,,,,,,,,,,Group2
IMIDACLOPRID-IMID2,True,GOOD: Fit quality passed,0.2686666666666667,0.2686666666666667,,26866666.66666667,,0.9975319367124496,1.5410894118260914,1.3799196239095548,gompertz,21.999368333333333,89,0.1650416499864883,0.0025434393930448,0.0119591136530019,0.0001650261561434,7.336000975022804,0.0772026920617638,0.9975319367124496,0.0025597512594304,0.0019942115399581,1e-08,0.8200836820083682,0.8307313508452738,0.2686666466666667,,,Group3
IMIDACLOPRID-IMID3,False,BAD: Low R²: -3.153 < 0.95; High mu error: 55.7% > 20.0%; Low SNR: 2.8 < 5.0; Delta OD not significant: CI lower=0.002 < 0.1; Insufficient growth: delta_od=0.007 < 0.15; Non-monotonic signal: 0.52 < 0.55,0.0065633333333333,0.0393,,2.756586713284073,,-3.153026162764643,3.0704920608131125,55.74684151642564,gompertz,7.499766111111111,31,0.0353140842642613,0.0010843161536829,0.1566639486142845,0.0873352031473796,1.4046440607525598e-18,0.0761008353220872,-3.153026162764643,0.0055282595165831,0.002864085560702,0.0023809638571152,0.5188284518828452,0.0776712675694585,0.0018014056191029,,,Group3
IMIDACLOPRID-IMID5,False,BAD: Pre-fit SNR too low (1.9 < 3.0),0.0028199999999999,0.0049333333333333,,1.914708965633961,,,,,gompertz,99.74724916666666,400,,,,,,,,,,,,,,,,Group3
IMIDACLOPRID-IMID8,False,BAD: Insufficient growth: delta_od=0.119 < 0.15,0.1194999999999999,0.1194999999999999,,11949999.999999989,,0.9840404416994442,0.1868733320951617,1.8778532485792716,gompertz,98.99727305555555,397,0.110482086456472,0.0002064615563294,0.0085800167151561,0.0001611201226142,2.764620769966355,0.1318775942028298,0.9840404416994442,0.0035269583356615,0.0029786559833513,1e-08,0.6694560669456067,0.8894717985251256,0.1194999799999999,,,Group3
LAMBDACYHALOTHRIN-LCY01,False,BAD: Pre-fit SNR too low (0.0 < 3.0),0.0,0.0,,0.0,,,,,gompertz,99.74724916666666,400,,,,,,,,,,,,,,,,Group3
LAMBDACYHALOTHRIN-LCY2,False,BAD: Pre-fit SNR too low (2.5 < 3.0),0.0095466666666666,0.0253999999999999,,2.478135937921729,,,,,gompertz,99.74724916666666,400,,,,,,,,,,,,,,,,Group3
LAMBDACYHALOTHRINANDLB-LCY01,True,GOOD: Fit quality passed,1.815863333333333,1.842133333333333,,241.17395140188304,,0.9998237675079426,0.190493380919958,0.4356624015939047,gompertz,19.249443333333332,78,1.780618847262454,0.0033919610434482,0.1913117723278899,0.0008334734618555,3.902041546115507,0.0189035099570745,0.9998237675079426,0.0085711186812904,0.0060254810501018,0.0075292680771624,0.7447698744769874,0.8654135545778168,1.800804797179008,,,Group3
LAMBDACYHALOTHRINANDLB-LCY2,True,GOOD: Fit quality passed,1.3332966666666672,1.3987000000000005,,130.6243728904192,,0.9978552568210536,0.7939114642021614,1.2175546833966389,gompertz,19.74942861111111,80,1.0459774134298916,0.0083041345981851,0.0797174275420687,0.0009706032725217,2.1803951923275746,0.0696375351640871,0.9978552568210536,0.0150548853675229,0.0118053032603199,0.0102071048240374,0.8451882845188284,0.9410391360210258,1.3128824570185924,,,Group3
LB-IMID2,True,GOOD: Fit quality passed,1.4788033333333337,1.6052000000000002,,29.55011539630686,,0.9994750986668248,0.3595372198508319,0.7339525280205409,gompertz,14.249579444444445,58,1.6593222649127153,0.005965881139633,0.1966050039613405,0.0014429873967891,1.2376945377706707,0.0283103317778862,0.9994750986668248,0.0122263368331142,0.0097626524837175,0.0500439106074744,0.5481171548117155,0.8896316933561549,1.3787155121183847,,,Group3
LB-IMID3,True,GOOD: Fit quality passed,1.6036100000000002,1.673366666666667,,100.40598391751838,,0.9990921698050418,0.8159665562750553,0.5965262280130084,gompertz,22.999340277777776,93,1.4476628613570617,0.0118124447962881,0.0665098654317086,0.0003967487915162,1.7146540130615144,0.0510962835588315,0.9990921698050418,0.011259984942026,0.0094547283120033,0.0159712592559954,1.0,0.9156641428867972,1.5716674814880092,,,Group3
LB-IMID5,True,GOOD: Fit quality passed,1.67559,1.7005666666666666,,180.51473012890645,,0.9980562872922912,0.6558574883087388,0.9437014209842572,gompertz,28.74918472222222,116,1.3579997801091392,0.0089065432490619,0.0676765035661721,0.0006386641258264,2.6632575559687304,0.0816427597062866,0.9980562872922912,0.0184120505920487,0.0155115531470691,0.0092822895882427,1.0,0.902689120592187,1.6570254208235144,,,Group3
LB-IMID8,True,GOOD: Fit quality passed,1.279806666666667,1.321966666666667,,125.91202503120216,,0.999057192290914,0.6883855656336828,1.004765965714001,gompertz,13.749595833333332,56,0.8412091816982737,0.0057907625835961,0.0930014966608905,0.0009344473860532,1.939976581092352,0.0393314584453045,0.999057192290914,0.008197800215307,0.0063548853588686,0.0101642926189894,0.99581589958159,0.8637174749754201,1.259478081428688,,,Group3
LB-LCY01,True,GOOD: Fit quality passed,1.6688133333333337,1.6799333333333335,,439.6854408349935,,0.9993488121241638,0.4725400239827243,0.987405210848544,gompertz,15.999531944444444,65,1.545759533529774,0.0073043324704568,0.2102403950267154,0.0020759246158023,4.500432230689214,0.0333366689604197,0.9993488121241638,0.0145961272159461,0.012576872043308,0.0037954709852665,0.7866108786610879,0.9169762128137484,1.6612223913628004,,,Group3
LB-LCY2,False,BAD: Low R²: 0.947 < 0.95,1.6096966666666672,1.6784666666666672,,110.2534578375284,,0.9470299868702086,0.4838465104790521,2.574292984508517,gompertz,99.74724916666666,400,1.529817081836509,0.0074019665671784,0.0464311220291991,0.0011952731170262,4.9272498525967703e-20,0.4495994439451313,0.9470299868702086,0.0946551427166365,0.082762937365734,0.0145999653728661,1.0,0.9954404039143564,1.580496735920935,,,Group3
IMIDACLOPRIDANDLB-IMID2,True,GOOD: Fit quality passed,1.5469666666666666,1.6947333333333332,,25.18469726169285,,0.9998471090915187,0.1660947840921648,0.3409171705510807,gompertz,17.24949777777778,70,1.6364142659570575,0.0027179987418947,0.1513753489432179,0.000516064556529,0.651478681514615,0.0168530451305961,0.9998471090915187,0.0061618631907111,0.0050577711112575,0.0614248664811102,0.7866108786610879,0.8532727424367893,1.424116933704446,,,Group3
IMIDACLOPRIDANDLB-IMID3,True,GOOD: Fit quality passed,1.8821466666666669,1.9418333333333335,,156.78034075503027,,0.998844075707153,0.4886609421036926,0.7003410284944623,gompertz,30.749132222222222,124,1.628139564397517,0.0079560821341478,0.0759249980272671,0.0005317339120685,2.909782023365727,0.0647126241159306,0.998844075707153,0.0169498398525891,0.0135435895980517,0.0120049915544419,1.0,0.9806936192116466,1.858136683557783,,,Group3
IMIDACLOPRIDANDLB-IMID5,True,GOOD: Fit quality passed,1.6813933333333333,1.7405333333333333,,80.88806927517645,,0.9965038608641472,0.6599495173793053,1.1518840575287754,gompertz,33.49905416666667,135,1.5257218425378556,0.0100689939363792,0.0671786525144913,0.000773820188377,1.346085862965224,0.1163496795131671,0.9965038608641472,0.0271280156743969,0.0225429826754977,0.0207866666666666,0.99581589958159,0.9395270795109446,1.63982,,,Group3
IMIDACLOPRIDANDLB-IMID8,True,GOOD: Fit quality passed,1.8578799999999995,1.9151999999999996,,171.62108885967592,,0.9979164215136588,1.0113360559778304,1.507737936223365,gompertz,13.999588888888889,57,1.143336855403225,0.0115629778599759,0.1277439708829513,0.0019260443102403,2.1932978580575444,0.0586110434063508,0.9979164215136588,0.0167454111503448,0.0133016726038615,0.0108254761250179,1.0,0.901032183814652,1.8362290477499636,,,Group3
H2O-IMID2,True,GOOD: Fit quality passed,0.1984066666666666,0.2218333333333333,,97.97597927185416,,0.984697357968122,4.764794806687189,2.6563609420819803,gompertz,14.999558888888888,61,0.1581321306294733,0.0075346715479369,0.0092243446355996,0.0002450318880631,4.5024874256874883e-17,0.1736572636543858,0.984697357968122,0.004294539325,0.0030510072023057,0.0020250541830885,0.891213389121339,0.829622881264945,0.1943565583004895,,,Group3
H2O-IMID3,False,BAD: Pre-fit SNR too low (1.6 < 3.0),0.0015399999999999,0.0446333333333333,,1.583719738725138,,,,,gompertz,99.74724916666666,400,,,,,,,,,,,,,,,,Group3
