TIME[H],LambdaCyhalothrin_LCY4_blanked
0.0,0.12693333333333334
0.2498961111111111,0.1506
0.4998911111111111,0.14316666666666666
0.7498866666666667,0.15420000000000006
0.9998758333333333,0.15109999999999996
1.2498694444444445,0.1352
1.4998622222222222,0.1544333333333333
1.7498566666666668,0.13596666666666668
1.9998491666666667,0.14479999999999998
2.249842777777778,0.14440000000000003
2.499836111111111,0.14483333333333337
2.749831388888889,0.15416666666666667
2.999823611111111,0.14206666666666667
3.2498172222222226,0.15750000000000008
3.4998127777777777,0.14373333333333338
3.7498044444444445,0.1594
3.9997980555555555,0.1515333333333334
4.249793333333333,0.16123333333333328
4.499782222222223,0.15913333333333335
4.749778055555556,0.16289999999999993
4.999768055555556,0.1521333333333334
5.249761666666666,0.16366666666666663
5.499754166666667,0.16736666666666666
5.749747222222222,0.16563333333333335
5.999739999999999,0.16366666666666663
6.2497372222222225,0.16493333333333338
6.499726666666667,0.1597
6.749721111111111,0.16563333333333335
6.9997125,0.1666333333333333
7.249708611111111,0.1659
7.499700555555555,0.1707333333333333
7.749693055555555,0.17070000000000002
7.999686388888889,0.17216666666666663
8.249679444444444,0.16949999999999993
8.499675555555555,0.17536666666666662
8.749665833333333,0.18250000000000005
8.99965888888889,0.1768333333333334
9.249651666666667,0.1838333333333333
9.499645277777777,0.18086666666666662
9.749640833333334,0.1834
9.999631944444445,0.1921
10.249625277777778,0.18816666666666665
10.4996175,0.18869999999999998
10.749612777777777,0.19469999999999998
10.999607222222224,0.19893333333333324
11.24959777777778,0.20026666666666668
11.499590555555555,0.20003333333333337
11.749581944444445,0.20106666666666664
11.999579722222222,0.1993000000000001
12.249574166666665,0.20906666666666665
12.49956361111111,0.2125666666666666
12.74955638888889,0.21486666666666673
12.999550277777779,0.21326666666666666
13.2495425,0.21786666666666668
13.499537777777778,0.21509999999999999
13.749528333333334,0.22060000000000005
13.999524166666665,0.22326666666666667
14.249513888888888,0.22533333333333336
14.499509999999999,0.22253333333333336
14.749504444444444,0.22470000000000004
14.999496111111112,0.2257333333333333
15.249488611111111,0.23186666666666672
15.499481944444446,0.22746666666666668
15.749476666666666,0.22913333333333336
15.999469722222223,0.2289
16.24946027777778,0.22756666666666667
16.49945222222222,0.2317333333333334
16.749445833333333,0.23683333333333328
16.99944138888889,0.23346666666666663
17.2494325,0.2282666666666667
17.499424444444443,0.2331666666666667
17.749419444444445,0.22566666666666663
17.999411388888888,0.2304
18.249405277777775,0.23009999999999997
18.499398055555556,0.2320333333333333
18.749391111111112,0.22999999999999995
18.999383611111114,0.22623333333333337
19.249378055555557,0.2276666666666667
19.499371388888886,0.229
19.749367222222222,0.23406666666666667
19.999357500000002,0.2265666666666667
20.249350277777776,0.22176666666666664
20.49934277777778,0.22060000000000007
20.749337222222223,0.22283333333333336
20.999330555555556,0.22266666666666665
21.2493225,0.2183
21.499316666666665,0.22193333333333332
21.74930888888889,0.2186
21.999303055555554,0.21793333333333328
22.249296944444442,0.22266666666666662
22.4992925,0.21213333333333334
22.749285277777776,0.2157333333333333
22.999275555555556,0.21586666666666673
23.249269166666668,0.21396666666666667
23.49926194444444,0.21243333333333334
23.749256666666664,0.2095
