TIME[H],BifenthrinANDLB_BIF2_blanked,BifenthrinANDLB_BiF7_blanked,BifenthrinANDLB_BIF6_blanked,BifenthrinANDLB_BIF9_blanked
0.0,0.0,0.0,0.0,0.0
0.2498961111111111,0.0015999999999999903,0.0,0.003899999999999959,0.0
0.4998911111111111,0.0,0.0,0.006766666666666643,0.0
0.7498866666666667,0.019533333333333347,0.015966666666666685,0.03283333333333338,0.021533333333333404
0.9998758333333333,0.040700000000000014,0.049866666666666615,0.06173333333333331,0.0494
1.2498694444444445,0.06886666666666674,0.0790333333333334,0.09593333333333337,0.08216666666666667
1.4998622222222222,0.10073333333333334,0.11853333333333332,0.13960000000000006,0.12390000000000001
1.7498566666666668,0.1427666666666667,0.16533333333333333,0.17110000000000003,0.16823333333333335
1.9998491666666667,0.1916,0.21956666666666663,0.21773333333333328,0.21539999999999998
2.249842777777778,0.2625333333333334,0.30500000000000005,0.30756666666666665,0.28513333333333335
2.499836111111111,0.38133333333333336,0.42816666666666664,0.4202666666666666,0.39153333333333334
2.749831388888889,0.4809333333333334,0.5383333333333333,0.5284666666666666,0.49866666666666665
2.999823611111111,0.5564,0.6189666666666669,0.5914999999999999,0.5777000000000001
3.2498172222222226,0.6090333333333333,0.6823333333333332,0.6306333333333334,0.6318333333333332
3.4998127777777777,0.6512333333333333,0.7273000000000001,0.6542333333333334,0.6702999999999999
3.7498044444444445,0.687,0.7685,0.6749666666666666,0.7031666666666666
3.9997980555555555,0.7199666666666664,0.8051666666666666,0.6985333333333332,0.7324999999999999
4.249793333333333,0.7487999999999999,0.8383999999999998,0.7220666666666664,0.7560666666666667
4.499782222222223,0.7808333333333333,0.8664000000000001,0.7488666666666666,0.7793333333333332
4.749778055555556,0.8058666666666667,0.8944666666666667,0.7791999999999999,0.8044666666666667
4.999768055555556,0.8280333333333334,0.9185666666666668,0.8081,0.8253333333333333
5.249761666666666,0.8518333333333334,0.9452666666666667,0.8387,0.8481000000000001
5.499754166666667,0.8764000000000001,0.9691333333333332,0.8730333333333333,0.8726666666666667
5.749747222222222,0.8967,0.9931000000000001,0.9034666666666666,0.8947666666666667
5.999739999999999,0.9191666666666667,1.0139333333333331,0.9275666666666664,0.9191
6.2497372222222225,0.9460333333333333,1.0407666666666666,0.9516,0.9422333333333333
6.499726666666667,0.9657,1.0682666666666667,0.9793333333333334,0.9710333333333334
6.749721111111111,0.9950333333333333,1.0936,1.0016000000000003,0.9963666666666667
6.9997125,1.0172,1.117433333333333,1.0272333333333332,1.0234
7.249708611111111,1.0441333333333334,1.1452999999999998,1.0493999999999999,1.0469
7.499700555555555,1.0732,1.1713666666666667,1.0732,1.0754333333333335
7.749693055555555,1.0991666666666668,1.1968333333333336,1.0955333333333335,1.1010333333333333
7.999686388888889,1.1275333333333333,1.2221000000000002,1.1196,1.1295333333333335
8.249679444444444,1.1541333333333332,1.2488,1.1420666666666666,1.1568
8.499675555555555,1.1796999999999997,1.2746333333333333,1.1637333333333333,1.1846666666666668
8.749665833333333,1.2056333333333331,1.2998666666666665,1.1837333333333335,1.2115
8.99965888888889,1.2340666666666669,1.3266333333333336,1.2068333333333332,1.2404333333333335
9.249651666666667,1.2517,1.3475666666666668,1.2243666666666666,1.2646000000000002
9.499645277777777,1.2775666666666667,1.3693333333333333,1.2434999999999998,1.2894999999999999
9.749640833333334,1.2998,1.3898333333333335,1.2600333333333333,1.3115666666666665
9.999631944444445,1.3250333333333335,1.4087000000000003,1.2807333333333335,1.3355333333333332
10.249625277777778,1.3484333333333334,1.4290666666666667,1.2987666666666666,1.3567
10.4996175,1.3661333333333334,1.4454666666666667,1.3158333333333334,1.3741666666666668
10.749612777777777,1.3843,1.4615666666666667,1.3306333333333331,1.3913000000000002
10.999607222222224,1.4026999999999998,1.4760666666666666,1.3475000000000001,1.4080333333333332
11.24959777777778,1.4184666666666668,1.488,1.3628333333333333,1.4243666666666666
