TIME[H],LB_BIF2_blanked,LB_BiF7_blanked,LB_LCY4_blanked,LB_BIF6_blanked,LB_BIF9_blanked,LB_FLUPC8_blanked
0.0,0.018799999999999983,0.0,0.0,0.03520000000000001,0.0,0.0
0.2498961111111111,0.022899999999999976,0.0005333333333333301,0.0,0.044533333333333314,0.004166666666666652,0.0
0.4998911111111111,0.029033333333333328,0.005266666666666697,0.0,0.05929999999999999,0.012700000000000017,0.0
0.7498866666666667,0.03900000000000001,0.014500000000000013,0.0,0.07966666666666669,0.03176666666666669,0.0024000000000000132
0.9998758333333333,0.058699999999999974,0.03256666666666669,0.0,0.10563333333333327,0.06083333333333335,0.007833333333333331
1.2498694444444445,0.08720000000000003,0.06029999999999999,0.0,0.18196666666666667,0.09413333333333332,0.014866666666666695
1.4998622222222222,0.12586666666666665,0.09813333333333332,0.0,0.2193333333333333,0.14856666666666665,0.027099999999999985
1.7498566666666668,0.1854,0.1556333333333333,0.0,0.33849999999999997,0.22379999999999994,0.03843333333333335
1.9998491666666667,0.3018333333333333,0.24706666666666666,0.0,0.4352,0.3146666666666667,0.0469
2.249842777777778,0.4540333333333334,0.39449999999999996,0.0,0.4934333333333334,0.4712666666666667,0.0566666666666667
2.499836111111111,0.6156333333333335,0.5669333333333333,0.0002333333333333354,0.5067666666666668,0.6344000000000001,0.07799999999999999
2.749831388888889,0.7491,0.7229666666666668,0.0032666666666666955,0.5392666666666666,0.7724666666666666,0.11973333333333333
2.999823611111111,0.8817333333333334,0.8609666666666668,0.007766666666666644,0.6028,0.8788666666666666,0.16919999999999993
3.2498172222222226,0.9830666666666668,0.9713333333333334,0.012433333333333352,0.6600666666666667,0.9521333333333333,0.21973333333333336
3.4998127777777777,1.049966666666667,1.0526666666666666,0.023299999999999987,0.7047333333333332,1.0041,0.27403333333333335
3.7498044444444445,1.1039,1.1185666666666667,0.04100000000000001,0.7477333333333334,1.0486333333333335,0.3369333333333333
3.9997980555555555,1.1426333333333334,1.1590666666666667,0.054433333333333334,0.7964333333333333,1.0790666666666666,0.39446666666666663
4.249793333333333,1.1724666666666668,1.1969666666666667,0.07303333333333331,0.8501,1.1130333333333335,0.45830000000000004
4.499782222222223,1.2027,1.2232333333333332,0.08856666666666668,0.9015000000000002,1.1390666666666667,0.5086666666666667
4.749778055555556,1.2261,1.2493999999999998,0.10943333333333335,0.9521000000000001,1.1692666666666667,0.5636333333333333
4.999768055555556,1.2513333333333332,1.2721,0.13603333333333337,1.0036666666666667,1.195066666666667,0.6127333333333335
5.249761666666666,1.2746,1.2967999999999997,0.17323333333333332,1.0592333333333335,1.2189999999999999,0.6598333333333332
5.499754166666667,1.2917666666666667,1.3156,0.21126666666666657,1.1081333333333332,1.2403666666666668,0.7018000000000001
5.749747222222222,1.3119,1.3359,0.2526333333333334,1.1537333333333333,1.2655333333333334,0.7445999999999999
5.999739999999999,1.3295333333333335,1.3538666666666666,0.2953,1.1878333333333333,1.2825000000000002,0.7823666666666667
6.2497372222222225,1.3496333333333335,1.3698,0.3360333333333334,1.2232333333333334,1.3103666666666667,0.8233333333333333
6.499726666666667,1.3613333333333333,1.3840666666666666,0.3745666666666666,1.2552666666666665,1.3265333333333336,0.8572333333333333
6.749721111111111,1.3786666666666667,1.4003666666666665,0.41689999999999994,1.2856333333333334,1.3472,0.8978999999999999
6.9997125,1.3956333333333333,1.4172666666666667,0.46546666666666675,1.3188666666666669,1.3702,0.9376
7.249708611111111,1.4099666666666668,1.4278666666666668,0.5035000000000001,1.3475333333333335,1.3863666666666667,0.9706666666666666
7.499700555555555,1.4290666666666667,1.449,0.5539333333333333,1.3768666666666667,1.4089666666666667,1.0043666666666669
7.749693055555555,1.4453999999999998,1.4646333333333335,0.6044333333333333,1.4045333333333334,1.4274333333333333,1.0402333333333333
7.999686388888889,1.4600666666666668,1.4789333333333337,0.6472666666666667,1.4303333333333335,1.4450666666666667,1.0737666666666668
8.249679444444444,1.4766,1.4934,0.6961999999999999,1.4569666666666667,1.4609999999999999,1.1015666666666666
8.499675555555555,1.4916666666666667,1.509,0.7404333333333333,1.4827000000000001,1.4799,1.135
8.749665833333333,1.5064666666666664,1.5224333333333333,0.7781333333333333,1.5053333333333332,1.4966333333333335,1.1635666666666666
8.99965888888889,1.5211000000000001,1.5362666666666667,0.8138333333333332,1.5278666666666667,1.5124333333333335,1.1913
9.249651666666667,1.5337,1.5493000000000001,0.8416,1.5477000000000003,1.5276666666666667,1.2145333333333332
9.499645277777777,1.5479,1.5637333333333332,0.8792333333333332,1.5684,1.5431333333333337,1.2368000000000001
