TIME[H],FlupyradifuroneANDLB_FLUPC8_blanked
0.0,0.010699999999999987
0.2498961111111111,0.013866666666666666
0.4998911111111111,0.01783333333333334
0.7498866666666667,0.02453333333333335
0.9998758333333333,0.027900000000000008
1.2498694444444445,0.038466666666666705
1.4998622222222222,0.0484
1.7498566666666668,0.0716
1.9998491666666667,0.08449999999999999
2.249842777777778,0.10076666666666667
2.499836111111111,0.10240000000000002
2.749831388888889,0.11583333333333332
2.999823611111111,0.12699999999999997
3.2498172222222226,0.1339
3.4998127777777777,0.1595666666666666
3.7498044444444445,0.18620000000000003
3.9997980555555555,0.22293333333333334
4.249793333333333,0.5824
4.499782222222223,0.9423333333333332
4.749778055555556,1.1164333333333334
4.999768055555556,1.1741666666666666
5.249761666666666,1.2003
5.499754166666667,1.2223
5.749747222222222,1.2255333333333336
5.999739999999999,1.2346666666666666
6.2497372222222225,1.2389
6.499726666666667,1.2473333333333332
6.749721111111111,1.2618333333333331
6.9997125,1.265
7.249708611111111,1.2845333333333335
7.499700555555555,1.2875666666666667
7.749693055555555,1.3078000000000003
7.999686388888889,1.3336000000000001
8.249679444444444,1.3472
8.499675555555555,1.3645333333333334
8.749665833333333,1.3737333333333333
8.99965888888889,1.3866
9.249651666666667,1.4072666666666667
9.499645277777777,1.4191333333333336
9.749640833333334,1.4326666666666668
9.999631944444445,1.4445000000000001
10.249625277777778,1.4556
10.4996175,1.4657333333333336
10.749612777777777,1.4757
10.999607222222224,1.4868666666666668
11.24959777777778,1.4925333333333335
11.499590555555555,1.4978666666666667
11.749581944444445,1.5082000000000002
11.999579722222222,1.5113666666666667
12.249574166666665,1.5163333333333333
12.49956361111111,1.5149
12.74955638888889,1.5178
12.999550277777779,1.5174333333333334
13.2495425,1.5188666666666668
13.499537777777778,1.5166
13.749528333333334,1.5184000000000002
13.999524166666665,1.5163
14.249513888888888,1.5126666666666666
14.499509999999999,1.5106666666666666
14.749504444444444,1.5097
14.999496111111112,1.5114333333333334
15.249488611111111,1.5063333333333333
15.499481944444446,1.5032333333333334
15.749476666666666,1.5040333333333333
15.999469722222223,1.5004000000000002
16.24946027777778,1.5014333333333334
16.49945222222222,1.4984666666666666
16.749445833333333,1.4991999999999996
16.99944138888889,1.4969999999999999
17.2494325,1.4985666666666664
17.499424444444443,1.4983333333333333
17.749419444444445,1.4978333333333333
17.999411388888888,1.4949333333333332
18.249405277777775,1.4955
18.499398055555556,1.4966000000000002
18.749391111111112,1.4956333333333334
18.999383611111114,1.4976
19.249378055555557,1.499
19.499371388888886,1.4959333333333331
19.749367222222222,1.4991999999999999
19.999357500000002,1.5000333333333333
20.249350277777776,1.5019333333333333
20.49934277777778,1.5015666666666665
20.749337222222223,1.5028333333333337
20.999330555555556,1.5036666666666665
21.2493225,1.5053333333333332
21.499316666666665,1.5076333333333334
21.74930888888889,1.5091666666666668
21.999303055555554,1.5090666666666666
22.249296944444442,1.5119333333333336
22.4992925,1.5108333333333333
22.749285277777776,1.5132
22.999275555555556,1.5154
23.249269166666668,1.5151666666666668
23.49926194444444,1.5167333333333333
23.749256666666664,1.5168333333333335
