TIME[H],Flupyradifurone_FLUPC8_blanked
0.0,0.008500000000000008
0.2498961111111111,0.0116
0.4998911111111111,0.009233333333333316
0.7498866666666667,0.012833333333333308
0.9998758333333333,0.014566666666666672
1.2498694444444445,0.012399999999999994
1.4998622222222222,0.01590000000000001
1.7498566666666668,0.015366666666666667
1.9998491666666667,0.013999999999999957
2.249842777777778,0.017033333333333345
2.499836111111111,0.014566666666666686
2.749831388888889,0.014100000000000001
2.999823611111111,0.01653333333333333
3.2498172222222226,0.014233333333333348
3.4998127777777777,0.013800000000000034
3.7498044444444445,0.0126
3.9997980555555555,0.01893333333333337
4.249793333333333,0.019666666666666652
4.499782222222223,0.01613333333333332
4.749778055555556,0.017433333333333315
4.999768055555556,0.01680000000000001
5.249761666666666,0.017100000000000018
5.499754166666667,0.019033333333333305
5.749747222222222,0.015500000000000014
5.999739999999999,0.022366666666666632
6.2497372222222225,0.008366666666666689
6.499726666666667,0.0175
6.749721111111111,0.020566666666666664
6.9997125,0.01870000000000001
7.249708611111111,0.018700000000000022
7.499700555555555,0.02093333333333333
7.749693055555555,0.01996666666666666
7.999686388888889,0.02136666666666663
8.249679444444444,0.022199999999999998
8.499675555555555,0.01876666666666664
8.749665833333333,0.017166666666666677
8.99965888888889,0.022566666666666665
9.249651666666667,0.021400000000000016
9.499645277777777,0.021166666666666653
9.749640833333334,0.02236666666666666
9.999631944444445,0.021400000000000002
10.249625277777778,0.024366666666666675
10.4996175,0.022066666666666665
10.749612777777777,0.0223
10.999607222222224,0.023200000000000012
11.24959777777778,0.02259999999999998
11.499590555555555,0.02453333333333335
11.749581944444445,0.022099999999999995
11.999579722222222,0.025599999999999998
12.249574166666665,0.02440000000000002
12.49956361111111,0.023799999999999974
12.74955638888889,0.025499999999999995
12.999550277777779,0.020033333333333347
13.2495425,0.028599999999999987
13.499537777777778,0.023666666666666683
13.749528333333334,0.02549999999999998
13.999524166666665,0.022699999999999998
14.249513888888888,0.024266666666666645
14.499509999999999,0.026633333333333356
14.749504444444444,0.023199999999999957
14.999496111111112,0.027300000000000005
15.249488611111111,0.023833333333333345
15.499481944444446,0.0204
15.749476666666666,0.025833333333333305
15.999469722222223,0.026000000000000037
16.24946027777778,0.020833333333333343
16.49945222222222,0.024400000000000005
16.749445833333333,0.030233333333333334
16.99944138888889,0.02549999999999998
17.2494325,0.02650000000000001
17.499424444444443,0.02876666666666665
17.749419444444445,0.02416666666666667
17.999411388888888,0.024266666666666645
18.249405277777775,0.02723333333333336
18.499398055555556,0.03173333333333332
18.749391111111112,0.025933333333333322
18.999383611111114,0.029466666666666683
19.249378055555557,0.02566666666666667
19.499371388888886,0.027900000000000008
19.749367222222222,0.029700000000000032
19.999357500000002,0.02796666666666668
20.249350277777776,0.022199999999999998
20.49934277777778,0.026100000000000026
20.749337222222223,0.03183333333333334
20.999330555555556,0.02869999999999999
21.2493225,0.030833333333333338
21.499316666666665,0.03036666666666668
21.74930888888889,0.02940000000000001
21.999303055555554,0.029400000000000023
22.249296944444442,0.02716666666666666
22.4992925,0.024866666666666704
22.749285277777776,0.02933333333333335
22.999275555555556,0.024999999999999994
23.249269166666668,0.025866666666666677
23.49926194444444,0.028766666666666676
23.749256666666664,0.0295
