TIME[H],IMIDACLOPRID_IMID2_blanked,IMIDACLOPRID_IMID5_blanked,IMIDACLOPRID_IMID6_blanked,IMIDACLOPRID_IMID8_blanked,IMIDACLOPRID_IMID9_blanked
0.0,0.0033666663333333235,0.008033332333333337,0.008133331666666674,0.0077333300000000105,0.0024666659999999785
0.5,0.004166667666666665,0.009099999999999997,0.009000001000000007,0.007633333333333325,0.0013333333333333253
1.0,0.004566669666666676,0.008166668333333349,0.00930000333333332,0.005066670666666662,0.0
1.5,0.004466665333333328,0.006900002666666669,0.008333332666666651,0.004533330333333321,0.0
2.0,0.004000000666666656,0.004699997333333331,0.008133331666666674,0.004866664666666673,0.0
2.5,0.0028666653333333375,0.004400000000000001,0.008233335999999994,0.00506666566666665,0.0
3.0,0.0017666666666666803,0.0018999996666666519,0.006833332333333331,0.004000000333333337,0.0
3.5,0.0,0.00119999799999998,0.006366667666666659,0.005366665333333312,0.0
4.0,0.0,0.0,0.0056999996666666775,0.005800001333333346,0.0
4.5,0.0007333303333333374,0.003666663666666667,0.009933329666666685,0.007333330333333332,0.0
5.0,0.0001333333333333464,0.0010666646666666613,0.00929999866666667,0.004600001000000006,0.0
5.5,0.00023333233333333592,0.0018000006666666624,0.011333334,0.00493333533333333,0.0
6.0,0.0016666646666666646,0.0020999980000000057,0.012666664999999994,0.0070666643333333334,0.0
6.5,0.0023999983333333474,0.0025999943333333553,0.013899997000000011,0.009366663666666677,0.0
7.0,0.0010333336666666637,0.0002000010000000052,0.014466668666666668,0.006499998666666659,0.0
7.5,0.0004999986666666956,0.0016333313333333627,0.018366667333333336,0.010099999666666679,0.0
8.0,0.0,0.004466668000000007,0.018400003666666692,0.007800000666666682,0.0
8.5,0.0030333323333333467,0.0064333353333333315,0.021400002000000015,0.005699999666666664,0.0
9.0,0.005966663333333344,0.006433330000000015,0.025266664666666674,0.004299998000000013,0.0
9.5,0.0033666690000000027,0.003533333666666666,0.02516666833333335,0.0031999996666666752,0.0
10.0,0.004299996,0.0017999983333333303,0.026566664666666642,0.0024666639999999934,0.0
10.5,0.009133331333333328,0.005566666333333317,0.03176666766666665,0.008933332999999988,0.0
11.0,0.009199999000000014,0.0015000006666666676,0.03136666366666667,0.006733330666666676,0.0
11.5,0.013700000666666656,0.0014666663333333246,0.03686666733333331,0.009866666999999996,0.0
12.0,0.015366663666666669,0.0033666640000000053,0.03813333299999999,0.014099997666666683,0.0
12.5,0.016566666333333327,0.0036333326666666554,0.03969999666666667,0.014133331666666651,0.0
13.0,0.015499999000000014,0.006299999666666667,0.040099998333333345,0.014833333333333337,0.0
13.5,0.017933333999999995,0.005999999666666672,0.04340000466666667,0.016733333333333322,0.0
14.0,0.017999999333333336,0.0018000006666666762,0.040966667666666665,0.01370000099999999,0.0
14.5,0.021733336333333325,0.0050333316666666544,0.04533333366666667,0.017233332333333337,0.0
15.0,0.02200000433333331,0.004899998333333322,0.04773333166666664,0.017300001999999995,0.0
15.5,0.02303333333333335,0.004433334000000011,0.04996666566666666,0.019999998333333324,0.0
16.0,0.022866668999999992,0.002566665333333329,0.051533334333333305,0.01946667066666667,0.0
16.5,0.028499997999999985,0.005999999999999978,0.056199999999999986,0.022933331999999987,0.0
17.0,0.028100001333333305,0.003233331000000006,0.05713333499999999,0.024166661333333325,0.0
17.5,0.03286666466666667,0.0029666700000000046,0.05920000166666668,0.026133336333333354,0.0
18.0,0.036900004,0.003300001333333344,0.06160000500000003,0.024100003333333328,0.0
18.5,0.03773333366666666,0.0040666659999999966,0.06363333033333331,0.02353333166666667,0.0
19.0,0.03726666399999996,0.00639999866666667,0.06356666200000001,0.025466662666666653,0.0
19.5,0.04683333666666664,0.006700001666666663,0.06763333066666663,0.027233332333333304,0.0
20.0,0.05123333099999999,0.010499998666666663,0.07369999566666666,0.031033331999999997,0.0
20.5,0.053166665,0.006433330333333334,0.07346666599999999,0.029033330666666662,0.0
21.0,0.05873333433333333,0.006400001666666669,0.07593333266666666,0.03350000633333333,0.0
21.5,0.05993333199999999,0.009166665333333324,0.07786666566666665,0.03580000233333332,0.0
22.0,0.061100001333333306,0.007033335333333335,0.07510000433333335,0.03410000099999998,0.0
22.5,0.05769999866666668,0.0038999993333333483,0.074766666,0.03213333633333333,0.0
23.0,0.06160000233333336,0.004600000666666659,0.07886666799999999,0.03443333266666666,0.0
23.5,0.065933332,0.0066666653333333215,0.08443333733333332,0.03893333666666664,0.0
24.0,0.06136666733333333,0.007666667333333321,0.08436666933333332,0.04133333299999996,0.0
24.5,0.06710000366666666,0.004733333999999992,0.08263333633333333,0.04059999699999997,0.0
25.0,0.06163333099999997,0.00213333433333332,0.07993333766666665,0.038966667999999996,0.0
25.5,0.06746667166666667,0.004733334333333339,0.08419999999999997,0.042366668999999996,0.0
26.0,0.06643333533333333,0.004499999333333324,0.08683333333333333,0.041933332999999975,0.0
26.5,0.06813332899999998,0.0033999999999999864,0.08373332999999998,0.04243332600000001,0.0
27.0,0.06170000400000002,0.0031666656666666654,0.08516667033333332,0.04303333899999999,0.0
27.5,0.06803333233333335,0.004466665333333328,0.08403333000000003,0.04569999333333334,0.0
28.0,0.06460000333333335,0.004300000999999998,0.08243333566666669,0.046766665999999985,0.0
28.5,0.06883333433333334,0.0043000006666666785,0.084766669,0.047766668666666665,0.0
29.0,0.07143333000000003,0.003433331333333331,0.08296666000000004,0.04809999900000002,0.0
29.5,0.06899999833333333,0.005799998666666667,0.08899999433333335,0.05219999733333332,0.0
30.0,0.07843333000000004,0.004733331333333354,0.0883333336666667,0.05140000066666668,0.0
30.5,0.08023333533333334,0.005166667,0.09183333300000003,0.05306667066666666,0.0
31.0,0.077700004,0.0057333333333333125,0.09203333633333331,0.054633334333333325,0.0
31.5,0.08203333133333335,0.004833332999999995,0.09276666233333333,0.054999996999999995,0.0
32.0,0.07866666500000004,0.0031999996666666752,0.09293333466666671,0.05556666633333336,0.0
32.5,0.08489999433333335,0.007266668000000004,0.09686666966666667,0.06053333766666667,0.0
33.0,0.08286666366666666,0.005666665666666654,0.09566666666666666,0.05970000233333332,0.0
33.5,0.08419999966666665,0.006400001333333322,0.0977,0.061133335,0.0
34.0,0.08286666866666667,0.004300000666666651,0.09593333300000001,0.059966668333333334,0.0
34.5,0.08073333166666664,0.003066666333333329,0.093099999,0.05943332866666666,0.0
35.0,0.08260000499999999,0.004933332333333346,0.09686666500000003,0.06246666899999999,0.0
35.5,0.08166666566666667,0.0034999946666666587,0.09516666566666665,0.06203333266666666,0.0
36.0,0.08043333166666668,0.0035666650000000105,0.095433332,0.06460000333333334,0.0
36.5,0.07953332833333335,0.0044666626666666764,0.09766666100000002,0.066233332,0.0
37.0,0.08003333433333333,0.0035999990000000065,0.10063333066666665,0.06506666300000001,0.0
37.5,0.08016666033333333,0.004399997333333336,0.10026666766666667,0.066300002,0.0
38.0,0.07310000033333332,0.003233333666666671,0.09759999800000001,0.06736666433333331,0.0
38.5,0.07533333233333332,0.004300000999999998,0.10046666933333333,0.069466671,0.0
39.0,0.07626666133333336,0.0035666669999999817,0.1001666683333333,0.07226666799999996,0.0
39.5,0.07326666500000002,0.004899996333333351,0.099133328,0.07059999833333334,0.0
40.0,0.07433333266666668,0.0039000019999999858,0.1011666683333333,0.07359999700000001,0.0
40.5,0.07440000566666666,0.003333334999999993,0.1011000003333333,0.07440000033333333,0.0
41.0,0.06960000066666665,0.0036000013333333247,0.09909999866666667,0.07333333800000001,0.0
41.5,0.07023333499999998,0.0046000033333333246,0.10246666766666668,0.07569999966666666,0.0
42.0,0.0701666646666667,0.004666666000000014,0.099366667,0.07843333199999998,0.0
42.5,0.067833332,0.002733329666666673,0.09996666266666668,0.07636666533333333,0.0
43.0,0.06813333466666663,0.005033334666666667,0.10160000166666669,0.07846666899999999,0.0
43.5,0.06273333233333335,0.001666667666666663,0.09823333266666666,0.07353333633333335,0.0
44.0,0.05956666433333334,0.0032333340000000044,0.10186666566666665,0.077699997,0.0
44.5,0.05993332966666669,0.0026999986666666753,0.10513333500000001,0.07616666433333334,0.0
45.0,0.05763333533333333,0.004133333666666655,0.10363333433333331,0.07919999966666667,0.0
45.5,0.05756666266666666,0.0050333316666666544,0.10493333166666666,0.08299999466666666,0.0
46.0,0.05873333433333332,0.005700001999999996,0.10339999699999998,0.08103333899999997,0.0
46.5,0.05476666466666667,0.001999998666666669,0.10286665933333335,0.07710000333333335,0.0
47.0,0.05826666966666667,0.006133327666666674,0.10429999733333335,0.080033332,0.0
47.5,0.055866668999999994,0.004533333333333306,0.10556666566666666,0.08163332933333332,0.0
48.0,0.05873333400000001,0.006533334666666696,0.10813333066666668,0.08356666533333336,0.0
48.5,0.05790000166666666,0.00623333433333334,0.107466668,0.08353333666666667,0.0
49.0,0.05480000399999997,0.0032333336666666435,0.102700005,0.08003333233333333,9.999933333333655e-05
49.5,0.05463333466666667,0.0038666650000000052,0.10499999900000001,0.08550000199999999,0.0
50.0,0.05396667133333334,0.003466665666666688,0.10656666266666671,0.0875666686666667,0.0
50.5,0.0475999956666667,0.004566661333333333,0.1080666676666667,0.08986666266666668,0.0007666669999999987
51.0,0.04629999866666665,0.0031000000000000055,0.10553333666666667,0.08626666666666669,0.0
51.5,0.046899994333333334,0.0029666673333333254,0.10823333266666665,0.08810000133333332,0.0
52.0,0.047633335333333346,0.0041000026666666856,0.10966666600000001,0.08946666633333335,0.0
52.5,0.04659999399999999,0.003133334333333321,0.11100000166666667,0.08839999633333333,0.0
53.0,0.048333334333333325,0.004933331999999985,0.11673333466666667,0.09083333800000003,0.0
53.5,0.047333332333333325,0.004533335666666666,0.1143,0.09043333699999999,0.0006333343333333324
54.0,0.04776666533333335,0.0043333346666666744,0.11423332966666669,0.08816666899999998,0.0
54.5,0.04653333633333334,0.0033666666666666845,0.11413333333333334,0.08506666633333335,0.0012666683333333317
55.0,0.047599996333333325,0.004600001333333326,0.11476666299999998,0.08926666799999998,0.0007666673333333318
55.5,0.04819999833333333,0.005500000666666671,0.11426667099999999,0.09203333366666666,0.0
56.0,0.04886666666666668,0.004866669000000018,0.11460000499999999,0.09173333400000001,0.002400000666666638
56.5,0.047166667999999995,0.002733331999999991,0.11230000066666668,0.08956667033333335,0.0026666646666666932
57.0,0.049933336333333314,0.004799996333333334,0.11423333233333334,0.09183333066666667,0.0012999996666666763
57.5,0.05186666566666667,0.002766663999999988,0.11346666533333336,0.08983333433333332,0.0014666636666666594
58.0,0.059799999000000006,0.005033337000000013,0.11186666833333335,0.09089999933333336,0.0
58.5,0.055966664999999985,0.0039999976666666714,0.11376666466666664,0.08916666566666666,0.002600002000000004
59.0,0.05473333333333337,0.0026333306666666834,0.11516666133333332,0.09006666400000003,0.0003333316666666586
59.5,0.05229999666666667,0.0031333346666666817,0.11569999700000001,0.09070000066666668,0.0
60.0,0.05383333566666666,0.005266666000000017,0.117599999,0.09250000100000001,0.0055333353333333335
60.5,0.05183333133333336,0.004266666666666669,0.11489999766666668,0.09373333533333332,0.004599998333333341
61.0,0.05350000166666666,0.0025999993333333388,0.11256666499999998,0.09306666266666669,0.0063666673333333534
61.5,0.051066671999999994,0.004000000666666656,0.11800000099999998,0.09479999566666668,0.006833332333333331
62.0,0.04973333566666667,0.0038333333333333414,0.11393333466666668,0.09303333833333331,0.004433331333333346
62.5,0.052400003,0.0055000013333333375,0.11789999899999998,0.09506666633333333,0.006066669999999996
63.0,0.04633333033333334,0.002166668666666663,0.11649999766666666,0.09330000199999999,0.008433334666666667
63.5,0.05093332900000003,0.0037333316666666727,0.11483333266666665,0.09390000266666668,0.007533336333333335
64.0,0.048999995000000005,0.005233335333333339,0.11800000100000001,0.0986666683333333,0.01169999933333335
64.5,0.050933336666666676,0.0036333330000000025,0.11493333733333334,0.09813333566666667,0.006566666666666665
65.0,0.052300001,0.002699998000000009,0.11349999900000003,0.09540000033333336,0.007299999333333335
65.5,0.048733331000000005,0.003233333666666671,0.11700000133333334,0.09703333433333332,0.00769999866666668
66.0,0.050133335000000015,0.003033332333333333,0.11560000233333333,0.09380000100000001,0.008366661666666664
66.5,0.05013333533333329,0.0036666643333333193,0.11626666533333334,0.09509999766666664,0.006566664
67.0,0.051533331333333335,0.004599997999999994,0.117800002,0.09359999999999997,0.007533336333333349
67.5,0.05099999633333334,0.002533333999999998,0.11526666333333337,0.09303333600000001,0.011566666333333336
68.0,0.049033338999999995,0.0026333330000000016,0.115266671,0.09603333466666665,0.011166669333333337
68.5,0.05546666933333334,0.004666668999999998,0.11586666866666669,0.09746666999999999,0.008700001000000013
