operator,n_curves,n_pesticides,pesticides,mean_mu,std_mu,mean_lambda,std_lambda,mean_r2
Dominique,5,1,Imidacloprid,0.02255986251856314,0.012734102271523474,4.048349563394169,2.6958107043043174,0.980353908549542
Operator1,57,8,"Bifenthrin, Control-H2O, Control-LB, Flupyradifurone, Imidacloprid, Lambda-Cyhalothrin, Malathion, Permethrin",0.17549024602144642,0.1891542896292412,7.73869467983066,16.217255928351115,0.938017027675003
Walton,13,3,"Diazinon, Imidacloprid, Malathion",0.026781486848072966,0.04215760043770947,10.632727926206638,8.13164127370174,0.9615699178114949
