pesticide,Ki_median,Ki_mean,Ki_std,n_strains,mu_max_median,mu_max_mean,Ks_median,Ks_mean,haldane_r2_median,haldane_r2_mean,S0_mg_L,Ki_over_S0_median,Ki_over_S0_mean
PERMETHRIN,15.91983832415816,15.973583650935552,6.875621394943461,4,1.5840743121199994,1.5219228082654743,0.09085669614296643,0.0903811195647872,0.9762509718596681,0.9801687910228443,100.0,0.1591983832415816,0.15973583650935552
MALATHION,10.000270466100337,36.48359266621123,63.5036171761424,12,0.7375922842553345,1.6164775436438623,0.09998572537329117,0.06409937875885893,0.8237422601447992,0.8148416296056618,50.0,0.20000540932200675,0.7296718533242247
BIFENTHRIN,10.074544719307474,10.069054192759904,0.02008785029061646,4,2.3586909908656315,2.3770660052008,0.09710232545850228,0.09730262180328629,0.9769997086182134,0.9769664199886295,50.0,0.20149089438614948,0.20138108385519804
LAMBDACYHALOTHRIN,11.481310996458575,13.280386723556152,3.4918533188876126,5,1.540436158176337,1.447143153237775,0.09088950132035553,0.09121263767251388,0.9664889092204916,0.963522558860155,50.0,0.2296262199291715,0.26560773447112307
IMIDACLOPRID,9.9012760907133,13.848553759606688,13.317203741052476,9,0.3859234793009752,0.6910927660430152,0.09992100495122182,0.07955122667584968,0.9797592517454337,0.9276399609068934,20.0,0.49506380453566495,0.6924276879803344
DIAZINON,10.002632968798876,10.104455255323783,0.21730968224769062,5,0.9545701162593212,1.4501743932722513,0.09934193262580693,0.09601508861568732,0.9811484127456702,0.9496827414929875,20.0,0.5001316484399438,0.5052227627661893
FLUPYRADIFURONE,10.885825851674001,10.885825851674001,,1,4.636263629685309,4.636263629685309,0.010294436015022635,0.010294436015022635,0.978569679229792,0.978569679229792,20.0,0.5442912925837,0.5442912925837
