strain,is_good,classification_reason,delta_od,max_od,initial_od,snr,time_to_max,r_squared,a_err_pct,mu_err_pct,best_model,truncation_time,points_used,gompertz_a,gompertz_a_err,gompertz_mu,gompertz_mu_err,gompertz_lambda,gompertz_lambda_err,fit_r_squared,fit_rmse,fit_mae,baseline_std,monotone_fraction,residual_autocorr,delta_od_ci_lower,p_good,ml_classification,mu_refined,mu_refined_rel_err,mu_trunc_time,mu_identifiable,A_refined,A_refined_rel_err,A_trunc_time,A_identifiable,lam_refined,lam_refined_rel_err,lam_trunc_time,lam_identifiable,param_disagreement_hours,param_quality,usable_for
IMIDACLOPRID-IMID1Y,False,BAD: Rejected by ML pre-fit gate,0.004720000000000059,0.0065,,7.182482979413944,,,,,gompertz,47.49869,96,,,,,,,,,,,,,,0.0,BAD,,,,,,,,,,,,,,,
IMIDACLOPRID-IMID2,False,BAD: Rejected by ML pre-fit gate,0.02782,0.0327333333333333,,8.784071481661595,,,,,gompertz,47.49869,96,,,,,,,,,,,,,,0.0,BAD,,,,,,,,,,,,,,,
IMIDACLOPRID-IMID3,False,BAD: Rejected by ML pre-fit gate,0.00623333333333332,0.0077666666666666,,2.9006851130517255,,,,,gompertz,47.49869,96,,,,,,,,,,,,,,0.0,BAD,,,,,,,,,,,,,,,
IMIDACLOPRID-IMID5,False,BAD: Rejected by ML pre-fit gate,0.006859999999999981,0.0263666666666666,,1.5816932088086544,,,,,gompertz,47.49869,96,,,,,,,,,,,,,,0.0,BAD,,,,,,,,,,,,,,,
IMIDACLOPRID-IMID6,False,BAD: Rejected by ML pre-fit gate,0.03373333333333332,0.0371666666666666,,17.197823879957486,,,,,gompertz,47.49869,96,,,,,,,,,,,,,,0.0,BAD,,,,,,,,,,,,,,,
IMIDACLOPRID-IMID8,False,BAD: Rejected by ML pre-fit gate,0.01657999999999998,0.0230666666666666,,3.6980060086199433,,,,,gompertz,47.49869,96,,,,,,,,,,,,,,0.0,BAD,,,,,,,,,,,,,,,
IMIDACLOPRID-IMID9Y,False,BAD: Rejected by ML pre-fit gate,0.0010199999999999801,0.0042666666666666,,2.250811424888387,,,,,gompertz,47.49869,96,,,,,,,,,,,,,,0.0,BAD,,,,,,,,,,,,,,,
DIAZINONANDG-DIAZ18,False,BAD: Rejected by ML pre-fit gate,0.082,0.0853833333333333,,22.40367163807562,,,,,gompertz,47.49868777777778,96,,,,,,,,,,,,,,0.0,BAD,,,,,,,,,,,,,,,
DIAZINONANDG-DIAZ22,False,BAD: Rejected by ML pre-fit gate,0.0008666666666667198,0.0021,,3.249266741285067,,,,,gompertz,47.49868777777778,96,,,,,,,,,,,,,,0.0,BAD,,,,,,,,,,,,,,,
DIAZINONANDG-DIAZ23,False,BAD: Rejected by ML pre-fit gate,0.1396066666666666,0.1700499999999999,,3.4443841120367447,,,,,gompertz,47.49868777777778,96,,,,,,,,,,,,,,0.0,BAD,,,,,,,,,,,,,,,
